title,text
MakeUp in Los Angeles promises to be the major makeup event of this start of year,"Premium Beauty News - More exhibitors and more visitors... more conferences and more speakers too? Jean-Yves Bourgeois - We were the first surprised by the enthusiasm MakeUp in Los Angeles generated across the entire industry. We knew that California was - more and more -, ""the place where things happen"" but it is clear that the explosion of the Internet phenomenon and e-sales literally boost our show, not just on the West Coast but also in all the other regions of the world where we are present. Simply because, MakeUp In is the only makeup event in the makeup industry that fits exactly to the evolution of this sector, with always more innovations, flexibility and subcontractors! The beauty industry is at a turning point in its history, revolutionized by technology and the arrival of Millennials (people born in the 1980s and 1990s), a savvy generation when it comes to the use of makeup. During the first day of the MakeUp in Los Angeles Event, on February 8, 2017 at the Quixote Studio, leading trend specialists, experts and brand representatives will provide insights of the major beauty trends shaping the future of our industry. With a special focus on the West Coast influences, considered as the innovation hub of beauty, this first day will be dedicated to the new influences that are disrupting our industry. Premium Beauty News - Do you think new winds of change are really blowing from the Californian coast in terms of makeup trends and innovations? Jean-Yves Bourgeois - The first conference on the first day, Wednesday, February 8 at 10:20am will set the scene! It will be given by Sarah Jindal, Senior Innovation and Insights Analyst-Beauty & Personal Care at Mintel, on the theme: ""Overview of Upcoming Trends and the California Influence."" Sarah will present the beauty trends in the US and how they should influence the future of our industry. She will also focus on the West Coast and the specificities of this market. Another highlight of this first morning in Los Angeles, makeup in the movie industry. An unavoidable topic in Los Angeles, just a few steps away from Hollywood. A theme that will be closely reviewed from 01:30 pm to 02:30 pm, this same Wednesday, February 8, by Michele Burke, MakeUp Artist. For her, ""designing makeup for leading ladies and men on feature films is a highly specialized field. High profile actors, producers, directors as well as time and money restraints require the film makeup artist to develop a unique eye, special skills and techniques."" On Thursday, February 9, from 11:45 am 12:30 pm, another conference not to be missed, That of Antoinette van den Berg, ""The Lady in Blu"" from the Future-Touch Company, themed: ""New Influences: Changing time concepts."" Antoinette believes that, ""usually future cosmetic trends, are defined by visual elements. While new influences are non visual and in-material"". ""The Lady in Blu"" will visualize in-material influences that will lead to new time concepts and shine a light on how to use the changes as a source of inspiration for product and concept development in the cosmetic industry. Premium Beauty News - This second edition of MakeUp in Los Angeles will mostly be an opportunity to meet top brands that influence the makeup generation. Sandra Maguarian - Absolutely! Anastasia, SmashBox, GlamGlow, Flirt, Nyx, Stila, Houglass, Yes To, Ilia Beauty, Rituel de Fille…, will be some of the top brands who will take part and enliven the various discussions at the roundtables and conferences of this second edition of MakeUp in LosAngeles. As of the first hour of the first day, the tone will be given! Anastasia Soare will open this first session of debates by retracing her path, probably one of the most amazing in this West Coast saga. Beauty pioneer, creative visionary and powerhouse entrepreneur Anastasia Soare is Founder, CEO, and driving force behind Anastasia Beverly Hills (ABH) - one of the fastest-growing brands in the global beauty industry. The digital influence, which is irrigating the beauty sphere from its Californian epicenter, will be one of the hot topics of this day with the presence of brands like Stila (Samantha Cutler, Chief Product Development Officer); Hourglass (Kate Helfrich, Vice President Product Development); Yes to (Ingrid Jakel, CEO) and NYX (Joyce Kim, Vice President Product Development). Another highlight of the first day will be the roundtable on Millennials with the exceptional presence of Jill Tomandl, VP Product Development & Innovation at Lauder - Smashbox. A round table dedicated to the influence of Millennials with the participation of innovation Millennials in the Lauder Group (ELC Gen Next), from the brands Clinique (Karina Spritz); Glamglow (Noelle Kot) Flirt (Vanessa Munoz) and Smashbox (Kia Ragland). Finally, the Wellness trend, which is flooding the beauty planet, will be at the centre of exchanges taking place at the last round table with rising brands in makeup and represented by their founders, Katherine & Caroline Ramos for Rituel de Filles and Sasha Plavsic for Ilia Beauty. Premium Beauty News - Particularly ""rich"" conferences in perspective? Sandra Maguarian - It is with the help of Leila Rochet-Podvin - in charge of this first day of conferences - and speakers, that you will get a better understanding of the growing influence of new technologies and social networks. Beauty is more daring, more hedonistic, a sign of our ever more connected society that now uses images to communicate. Selfies, Snapchat or Instagram posts – in this new era dominated by influencers, consumers are totally ""hooked"" to their smartphones, and modifying the beauty landscape. Premium Beauty News - Packaging of course will also be in the spotlight! Jean-Yves Bourgeois - Make up products are the combination of three inseparable elements, present in any and all product, and which must work together in close harmony to generate the expected result: the formula, the packaging and the applicator. The combination of different areas to treat (eyes, lips, nails…), each with its own specific demands, with a wealth of packaging technologies (tubes, pencils, swivel mechanisms, sprays…), not to forget a booming number of applicator types (brushes, felt-tips, flock-tips, spatulas, balls…) results in significant complexity, that brands must master in order to introduce products that meet the high expectations of ever more educated, demanding and mobile consumers. Thursday, February 9 from 11am to 12pm and then in the afternoon from 02:30 pm to 05:00 pm, Gérald Martines, Founder and President of IN•SIGNES and his industry peers will show you how to make the ""right packaging choice"". The first ""Beauty Packaging"" workshop will help you get a complete overview of this vast universe and better understand the technology behind it. This workshop will present the process for selecting the appropriate packaging for a specific application and will set up a comprehensive typology of cosmetic packagings: – Inventory of makeup areas, – Specific constraints, – The selection process of a packaging type, – Overview of the main dosage forms for cosmetic formulas: lotions, serums, oils, gels, wax… – Combining make up application with packaging technology: Cosmetic packaging typology. From 02:30 pm to 05:00 pm, you will know everything about mascaras, lipgloss, lipsticks, pencils and packaging intended for foundations. You will get a grasp at the basic technology at work, identify critical functions and walk through the main criteria to consider developing an impeccably operating pack, from material compatibility issues to air tightness and more. A workshop where you will have access also to some significant innovations and current technology trends to provide Marketing Product Managers and Packaging Engineers with a comprehensive overview. Mascara is beyond dispute the cosmetic category where the interaction between the formula, the applicator and the pack plays the most critical role, and where innovations in these elements nourish each other, resulting in a sustained stream of novelties. Second packaging thoroughly reviewed, Lipgloss, which is probably the favorite lip make up category with the younger generations, because of its ease of use and an ever-increasing palette of available effects. After being a relatively low tech category for a while lipgloss has seen a sustained pace of innovation in applicators and packaging solutions lately making it a very dynamic category. Third ""featured"" packaging, traditional lipstick, which remains the flagship of any makeup lineup. Innovations in multi-benefit formulas and new gestures have lately fueled a corresponding flow of innovations in packaging solutions in order to handle the more demanding modern lipstick formulations or the new ways in which makeup brands are utilizing the good old mechanisms. Then come pencils, are a ubiquitous make up solution, which has invaded virtually all makeup applications from eyes to lips and face, not to forget the highly dynamic segment of brows. The classical wooden pencil, still a must, has evolved into a wealth of solutions from plastic to automatic pencils opening lots of opportunities for innovative applications. Finally how not to review packagings intended for foundation, which is the foundation... of makeup. Few categories embrace as many applications, combining such a vast variety of formula types, each with its own requirement in terms of texture and viscosity, with a large choice of packaging solutions that must be carefully selected to properly deliver the optimal result. MakeUp in LosAngeles 8 & 9 February, 2017 Quixote Studios, Los Angeles www.makeup-in-losangeles.com"
Cosme Tokyo and Cosme Tech to open their biggest edition next week,"Year after year, the Cosme Tokyo and Cosme Tech trade show continues growing. With 780 exhibitors from 40 countries/regions, a 25% growth compared to 2016, the leading Japanese tradeshow dedicated to personal care products is becoming an unmissable event. Twelve national pavilions will gather exhibitors from Australia, France, Germany, Italy, Korea, New Zealand, Poland, South Africa, Thailand, Turkey, USA, Spain. The organisers expect to welcome about 30,000 visitors (versus 23,295 in 2016). Actually, this annual event is a two-in-one show: Cosme Tokyo, dedicated to finished products from all around the world, and Cosme Tech, dedicated to the suppliers of cosmetic brands, (ingredients, packaging, contract manufacturing, etc.). While the organic and natural cosmetics market has been growing steadily in Japan and Asia over the recent years, the event will host numerous brands and suppliers focusing on sustainable cosmetics. The natural and organic brands exhibiting at the show include for instance: – AuFloras Springfields Hand Cream, a natural cosmetics brand established in Australia by strict Vegan husband and wife. – Plenus All In One Shampoo, a multifunctional shampoo made with Japanese Alps pure water and 16 kinds of plant components and the fragrance of floral herb. – Skinfood Body Butter, a product born from the nature of New Zealand using natural and paraben-free materials. As far as organic and natural ingredients are concerned, exhibitors in the Cosme Tech part will also showcase their own innovations: – I.T.O. CO., LTD. will present GO-VC a new nonionic and amphilic ascorbic-acid derivative offering skin moisturizing, anti-acne, whitening, high stability, anti bacteria, and more. – A natural surfactant made by fermentation by Kaneka Corporation. – Yama No Kibudou Crystal Sap eco, by Sako-Honten Co., Ltd., an extract of crimson glory vine (Vitis coignetiae), a native plant from Japan, now organically grown in orchard and now finding its new usage for cosmetics with high moisturising effect."
Perfume brands successfully target young women consumers,"Are women under 35 years of age the best bet for perfume makers? With total sales of 390 million euros YTD end of August 2016, the segment of perfumes targeting Millennial women account for one third of women's perfumes sales in value. According to The NPD Group, this segment reported a significant resurgence over the past two years in France and is now one of the main drivers of the market growing by +5% over the period August 2014 - August 2015 and +4% over the period August 2015 - August 2016 in a market that dropped by 2% in 2016. The trend far exceeds the French market with a double-digit growth several other European countries including Spain and Italy. In order to attract digital-native women whose expectations and consumption patterns are deemed to widely differ from those of their elders, brands have opted for two different strategies. The first one consists in launching a brand-new concept, such as Olympea by Paco Rabanne (best European [1] launch in 2015). The second strategy consists in the reinterpretation and rejuvenation of a major classic line such as YSL's Black Opium (best European launch in 2014) or Poison Girl by Dior (best European launch in 2016, based on YTD figures October 2016). ""Big names adopt a very targeted communication to attract women under 35. For example, bottles of reinterpreted classics are entirely customized, with more girly or glittery colours. Brands also try to build familial stories by choosing movie star's children or former beauty icons as global ambassadors. A key role is given to music as well as to digital marketing which offers immersive experiences thus multiplying consumers' commitment on social networks. Furthermore, communication is often unconventional, putting forward a more rebellious or offbeat way of life than their elders,"" says Mathilde Lion, Beauty Expert Europe at The NPD Group. Fall 2016 has only accentuated the trend, with several key launches typically targeting Millennials such as YSL's Mon Paris, N° 5 L'Eau by Chanel or Kenzo's World (the three top performing launches of October 2016, according to The NDP Group). ""However, while these new proposals are clearly meeting success, we did not survey the real age of those actually buying these perfumes and that could be a source of surprises,"" adds Mathilde Lion. Indeed, both prestige brands and retailers are aware of the difficulty to attract younger consumers in the selective channel. As far as men's fragrances are concerned, the trend contrasts with the women's market. According to NPD, sales of fragrances targeting younger men have fallen sharply over the last two years (-7% YTD August 2015, -8% YTD August 2016). However, the market research company deems that this segment, which accounts for only 18% of the entire prestige men's fragrance market, has a great potential for growth. Depending on their success, recent launches might therefore reverse the trend."
Italy-based colour cosmetics supplier Regi is starting its US factory,"Premium Beauty News - Quite a progression for your company since its creation, in 1994. What explains this success? Vittoria Cicchetti - Since the beginning, we have been an open-minded, customer oriented, very transparent and earnest company. We try to create a strong partnership with our clients. We love to work together, move forward together and grow together with them. At the same time, we are always trying to spark innovation, in all its forms. Our R&D department is constantly pushing forward to implement new technologies: that's why we are always up to date with the cosmetics world's evolution. We take pride in the quality of our products and processes, certified by the highest quality standards. Each year we work to improve our supply and production chain, to give our clients the best possible service. Premium Beauty News - Within a few years Regi has become a major supplier in the make-up business. The opening of a new plant in the United States is a key step of the company's global expansion. Vittoria Cicchetti - We created the company in 1994. Very quickly we benefited from strong growth. And as of the year 2010 we decided to build a new industrial site in Crema where we are now and then to settle in India in 2010 in a factory with a surface area of 3,500 sq. m. (37 673 sq. ft.). As for Regi USA that we are now opening, it was designed as a new production and distribution unit, a new milestone for our company, with the clear idea to merge our business model into an American operational approach and an innovative logistics system. Our presence on the US market goes back to many years, just like the decision to invest in tailor-made formulations to suit the American market. It became a reality this year, with a 4,500 sq. m. (48,437 sq. ft.) facility, replicating the same technological standard as Regi's HQ in Italy. The plant is fully equipped to deal with the main product categories from day one (powders, emulsions, anhydrous products) with a possibility for expansion. Premium Beauty News - You already had a footprint in the United States. This new plant is a logical outcome! Vittoria Cicchetti - Over the years, our relationship with American clients grew so much tighter that it almost seemed natural to get closer to them physically. Regi USA has the same imprinting that our clients are familiar with: over the edge technology, high capacity, flexibility, certified quality standards, total traceability, quality as our philosophy of work. And the same level of expertise of our people and the same love for our products than we have in Italy. At the same time, Regi USA will be a revolution for our US customers and all those who need global distribution thanks to a faster, simpler and more comfortable way to work together. A great step forward: to imagine, develop and produce literally by their side. New challenges, new solutions but the same passion."
UK: Sales of prestige beauty products jump 6% post-Brexit,"The greatest growth post-Brexit has been in the sale of niche fragrances (£125+) and super premium skincare (£200+), both of which reported double digit growth. ""The growth in prestige beauty sales is impressive,"" says Teresa Fisher, Senior Account Manager, NPD UK Beauty. She adds, ""Post-Brexit there was much uncertainty in the market, but what these figures show is that the demand for luxury and prestige beauty products has been boosted by Brexit. Why? We know that shopping in the UK became less expensive for overseas tourists due to the drop in the value of the pound and that the largest growth in the market has been in London and online."" The prestige beauty market in the UK was valued at £2,446 million in 2015. The post-Brexit sales boom mainly concerns luxury, high-end beauty products with a premium price tag. Reporting double digit growth, super premium skincare sales rose 32% compared to the same period in 2015, and in comparison to pre-Brexit where the sector only grew by 4%. Niche fragrances reported an increase of 59.5% in sales compared to the same period in 2015, growing twice as fast as vs pre-Brexit (at 28% growth in January to June 2016 compared to 2015). A survey carried out by Dealabs, France leading platform for sharing good deals, shows that average prices of cosmetic products (mass or prestige) are 3% lower on British online sales platforms than in France. Taking into account the exchange and delivery costs, buying on a British website is therefore especially interesting for the most expensive products. Most regions in the UK reported growth in sales of prestige beauty products with Midland and the East plus Yorkshire and the North East demonstrating the strongest areas outside London. However, it was in London where the greatest growth was reported and this was mimicked online. For the three-month period July to September 2016, online sales (although it only represents 9.2% of total prestige beauty market) increased by 34.3% compared to the period July to September 2015 and contributes most (43.7%) to total prestige beauty growth in this period. The second biggest contributor in the three-month period post Brexit was London, with 37.9% of total growth, increasing sales at by 7.3%. London represents 30.1% in value of the total prestige beauty market in the UK. The drop of the British currency in the wake of the Brexit vote was followed by moderate inflation, mainly boosted by cost of clothing and footwear, recreation and culture and furnishings. The fact that prices did not grow faster is probably due to the high margins some economic players were able to achieve when the Sterling surged during the euro crisis. However, it is not known how long main players will resist to the temptation to increase prices in particular before the Christmas festive season. ""We have already seen that some manufacturers in the news have increased their pricing so it will be an opportunity to review the future ahead with regards to consumer's ongoing purchasing habits,"" concludes Teresa Fisher."
More launches in niche perfumery than in the selective network in 2016,"More than 2,000 new perfumes were launched all around the world in 2016, a high figure that mirrors the progress observed over the past few years. Among them, 41% come from niche perfumery, and 34% from the selective network – a significant shift since 2015. It should also be highlighted that the share of women and men's perfumes is declining, to the advantage of the ""mixed"" or ""non-positioned"" types typical of niche perfumery, which has become the prevailing genre: it now represents 43% of the offering, compared to 17% in 2006. Isabelle Ferrand observes that men's fragrance trails ""are reaching new power heights."" ""Along with the family of Woody fragrances, which prevails, the Fern family is making a strong comeback, but more like a sub-family. Without being dominant, it appears like a hint behind woody or oriental bases. The Hesperides family is losing ground, but citrus fruit still remain easily perceptible as top notes."" Women's fragrances are mainly classified in the Floral family, for 72% of perfumes, followed by the Oriental family, 13%. There is even a tendency to make hybrid fragrances with the Oriental family: the term ""Floriental"" is now increasingly used. As for ""non-positioned"" perfumes, which should now be considered a determining category on the market, the families ranked at the top are Floral (36%) and Woody perfumes (31%). ""In the future, I bet Woody fragrances will boom among women's perfumes,"" explains Isabelle Ferrand, always on the look-out for weak signals. The rose remains the queen, as it is claimed by many brands. Iris is also used regularly in olfactory compositions, and more surprisingly, in the new Cartier fragrance for men: L'Envol. Isabelle Ferrand also emphasizes the fact that patchouli is settling as the new flagship ingredient of the year. Isabelle Ferrand has noticed more and more savoury bases in perfumery, which has opened to exclusive influences with cannabis, caviar, buckwheat, algae, rain, chestnut, champagne, or wasabi notes… As for the sweet flavours, pear notes are gaining ground, and sweet notes like honey, coffee, or crème brûlée remain well-positioned. ""This year, the phenomenon to pay attention to is that of perfume couples. Think about Zadig et Voltaire, who have launched their men-women duo at the same time, or about the simultaneous launch of One Million and Lady Million as a Privé version, or how Jean-Paul Gaultier has put Mâle and Classique closer together. Given all these recent daring campaigns, we can imagine heterosexual couples will soon no longer be a reference to launch a perfume couple,"" Isabelle Ferrand anticipates. To be continued in 2017."
MakeUp in SaoPaulo puts the spotlights on innovation,"In a context characterized by the recession of the Brazilian economy with a strong attention to prices, all eyes were on the show's famous ""Innovation Tree,"" which unveiled a selection of the most cutting-edge new products. Among these innovations we selected: – Alkos's new 'Single Twins Eyebrows' product, a double-ended pencil featuring one end for drawing and definition, and another to fill, set and highlight eyebrows and ensure they stay in place all day, to address the full brows trend that has been on air for some time now. – 'Miracle Sensation Purple,' a highly pigmented pen eyeliner in a striking purple shade designed by Schwan Cosmetics. According to the manufacturer it lasts for 8 hours or longer. The liner is water-resistant, free from parabens, and dries to a matte finish. – Faber-Castell's latest invention, a magnetic lipliner made using a gel-like formula for an extra-smooth finish. The liner, which comes in highly pigmented color variations, is soft and creamy when applied, but hardens into a 'magnetic' finish that lasts for 8 hours after less than a minute. – While bold lips have been on trend for some time, lipsticks manufacturer Weckerle has been working on an alternative — the transparent 'Ph-Antastic Lipstick'. The product reacts with the skin's pH levels upon application, forming a custom shade in a crystalline high-shine finish. – As far as packaging is concerned, Qualipac has come up with a solution to the problem of fiddly packages, such as mascara, eyeliners and lip gloss tubes. Its new product 'One Touch' offers a simple press-and-release mechanism that can be custom designed with multiple materials and shapes. While the Brazilian cosmetics market has proved particularly resilient in the economic crisis that has hit the country since 2014, competition in this market has steadily increased. The positions of the main players were reshuffled. Natura's market share thus dropped from 14.9% in 2010 to 11.1% in 2015. Simultaneously, the Boticário Group, the other Brazilian cosmetics giant, recorded a rise of its market share from 6.9% in 2010 to 10.9% in 2015. ""The Boticário Group has been able to anticipate changes in Brazilian consumption habits and transform its businesses into a multichannel model,"" explains Valeria Grossmann, General Director of design agency Centdegrés in Brazil. In such a context, the participants in MakeUp in SaoPaulo insisted on the key role of innovation to boost the growth of beauty brands. For instance, Arcade Beauty and Adhespack, two specialists in sampling and single-use packaging, highlighted the huge potential of samples in an increasingly digitized market. According to Daniel Fernandes de Oliveira, Business Intelligence Manager at ABIHPEC, the Brazilian association for the personal care industry, makeup is probably the category with the greatest growth potential in Brazil. The country accounts for 50% of cosmetics sales in Latin America, but only for 42% of the makeup consumption. ""For several years, Brazilian cosmetics players have demonstrated their ability to innovate while containing the rise of prices,"" he said. This perfectly matches with the expectations of Brazilian consumers whose great interest in cosmetic products seems to be hampered only by the limitation of their purchasing power."
How Millenials are driving the digital beauty revolution,"Considering that what Millennials are doing now is what everyone will be doing soon, it is key to have a better understanding of their behaviours. ""For beauty brands, digital beauty is the next major wave that will create a dramatic shift in the beauty industry and how consumers interface with their products. Many brands are still trying to navigate how to embrace and adjust to this new generation of beauty buyers,"" said Sinead Norenius-Raniere, Board Member of the Bay Area Beauty Association. According to Facebook data, nearly 1 in 2 surveyed Millennial [1] and Gen X [2] beauty buyers in the US are still looking for the beauty style and products that work best on them. Where are they looking? Not just magazines, stores and TV anymore. Digital is now a main channel for beauty purchasers, with mobile leading the way. Indeed, beauty accounts on Instagram attract over 20 million unique followers in the US. ""Women now have a vibrant array of content creators to gather advice on the latest beauty products and techniques from ease of their mobile phone. Whether it's a friend who shares their same skin concern or a blogger with a great smoky eye, women are relating to other women who they feel have less to personally gain from sharing their beauty know-how,"" explains Facebook IQ (a Facebook division focused on research, data, and trends) In parallel, the survey conducted by Poshly on 175 women between the ages of 18-35 finds 65% millennials trust the makeup recommendation of a makeup artist or beauty influencer on Instagram or YouTube over a salesperson in the store. While Facebook finds 56% Young Millennial Beauty Buyers (18-24) agree that when it comes to make-up, they are adventurous and enjoy experimenting with their look. The Poshly survey reveals that 78% would be more inclined to purchase makeup from a brand if they could see what it looks likes virtually on their face before purchasing it. When it comes to age segmentation, Facebook IQ shows there are significant variations on how the different age classes consider beauty. While Younger Millennials (18-24) are more open to experimenting with beauty products they are also more likely to embrace not wearing make-up in content they post on Instagram, using the #nomakeup. Older Millennials (25-34) are more comfortable in their own skin but start to think about remedies against aging, including battling wrinkles, covering dark circles and creating the appearance of dewy skin. They aren't as up to date on the latest beauty tips and tricks as they were just a few years ago. Eventually, for Gen Xers (35-44) beauty is part of a holistic approach to overall wellness. Their resources and priorities are different from their younger counterparts, too. Many still consult magazines, and they're more focused on their ""me time."" Gen X women also post more about their lives, with hashtags like #kids, #fitmom, #yoga and #lovemyjob being unique to this group on Instagram."
Cosmoprof Asia 2016: Record numbers confirm the success of the new format,"For its 2016 edition, Cosmoprof Asia faced a daunting challenge. Held in cramped conditions last year in the Hong Kong Convention and Exhibition Center (HKCEC), the show had no other choice than move to larger premises. The organizers thus decided to split the show into two distinct venues: suppliers (packaging, formulas, Ingredients, machinery) were therefore moved to AsiaWord-Expo (AWE), a modern and large exhibition centre near the airport, while finished products and some selected suppliers stayed at the HKCEC, on the Hong Kong island. This strategy not only allowed the show to host new exhibitors (650 new companies) and new sectors (ingredients, machines), but it was also well accepted by both visitors (up 21%!) and exhibitors. The event welcomed 650 new companies this year taking the total number of exhibitors to 2,698 from 49 countries and regions. 732 companies from 19 countries exhibited at the AsiaWorld-Expo (AWE), the venue for packaging, ingredients and processing equipment, from 15-17 November 2016. Finished cosmetics were showcased at the Hong Kong Convention and Exhibition Centre (HKCEC) from 16-18 November 2016 by 1,966 companies from 49 countries. Cosmoprof Asia 2016 hosted 24 national and group pavilions from Australia, Belgium, Brazil, California, China, France, Germany, Greece, Hong Kong, Israel, Italy, Japan, Korea, Poland, Singapore, Spain, Switzerland, Taiwan, Thailand, Turkey, UK, USA with inaugural pavilions from Bulgaria and Latvia. The fair played host to 76,818 trade visitors from 129 countries and regions (21% increase over 2015). ""With the strong international representation and presence, Cosmoprof Asia remains the indisputably most important networking opportunity in Asia Pacific for the beauty industry,"" said Michael Duck, Executive Vice President, UBM Asia Ltd. For the first time ever, AWE served as a focused venue for companies specialising in packaging, machinery, OEM, contract manufacturing and raw materials. While a handful of key exhibitors decided not to participate this year, the overall mood on the show floor was very positive, in particular because of the impressive affluence, proving the visitors clearly understood where to find what they were looking for. The headline event was the first edition of the Innovation Circle Awards, organised in partnership with trends agency Beautystreams, recognising the most innovative packaging, design and formula. A jury panel comprised of the beauty industry's elite including AmorePacific, Centdegrés, L'Oréal, Marie Dalgar, Martha Tilaar Group and NYX Cosmetics selected the winners and products were displayed in a prominent area on the show floor. The Lipstick Factory in Hall 5 gave live demonstrations on the manufacturing process of a luxury lipstick thanks to a partnership with three leading Italian exhibitors - Brivaplast (packaging), Chromavis (formulation) and Vetraco (machinery). The project was supported by the Italian Ministry of the Economic Development and ITA - Italian Trade Agency, in collaboration with Cosmetica Italia - Personal Care Association. At the HKCEC, the ""Extraordinary Gallery"" in Hall 3G took centre stage. Here a selected group of coveted and innovative multicultural brands from supply chain and finished products displayed their products. On this occasion, a special edition of a high-end nail lacquer in three unique colours and textures was jointly created by Centdegrés, Groupe Pochet (glass), Fiabila (nail polish) and trend agency Beautystreams. Concomitant to the show, a rich information programme comprising more than 30 educational sessions offered world class content to all participants. The World Asia Forum held across both venues addressed the industry's most talked about trends and topics. Sessions in AWE focused on the latest ingredients, technologies and packaging, while at HKCEC visitors discovered the latest trends and development in product, branding and marketing. Cosmoprof Asia will be back in 2017 from 14 to 16 November at AsiaWorld-Expo and from 15 to 17 November at Hong Kong Convention and Exhibition Centre."
"The beard, a massive success among the French","No one can deny how much hair has been growing on men's faces recently. Just over half of Frenchmen (52%) surveyed by Ifop say they are always closely shaven, compared to 48% who declare they have a beard, a moustache, or a goatee. Still, the beard remains the most common facial hair form among men, with 40% of bearded men among the adult men's population. If several beard styles can be differentiated, it is the three-day beard that is the most popular (24% of bearded men), ahead of the ten-day beard (8%), the short beard (5%), and the long beard (1%). However, there is no general agreement about the moustache, far from it: only 4% of the French aged over 18 have yielded to it. The same goes for the goatee (3%) and short beards on the chin (1%). Nonetheless, this big comeback is far from concerning all generations and social classes to the same extent. Indeed, wearing a beard seems to be closely related to the age of the people surveyed: the proportion of bearded men is twice more important among young men under 35 (52%) than among seniors aged over 60 (24%). And it is among thirty-year-olds aged 25-34 that it is more common to wear a beard (55%). And yet, it is actually reaching the older generation (50% for men aged 35-50), which shows having a beard is not or no longer restricted to young people. It can also be noticed that the beard is mostly popular among upper working classes, in particular managers and higher intellectual occupations (54%) like teachers, journalists, and artists. The survey results also highlight a North/South split as regards the prevailing form of hair among the male sex. It is actually in the regions located in the North-East and North-West quarters of France that the proportion of hairy faces represents a majority, except in the Parisian region, where beards and hairy faces are a minority (43%). On the contrary, the proportion of closely shaven men represents a majority in all regions south of the Loire river. And after the large central region, it is in Provence that it is the lowest. Bearded or closely shaven? Women are really divided over this issue. Half of them consider closely shaven men are sexier, and 45% are more easily tempted by bearded men, in particular men with a three-day beard (33%). Just like their male counterparts, women are much less attracted by moustaches (only 2% think men with a moustache are sexier) and beards on the chin (1%). It should be noted that young girls are extremely seduced by bearded men. More than eight French women aged under 25 out of 10 (81%) think men are sexier with a beard. According to Ifop analysts, ""if clean-shaven faces remain the standard among a narrow majority of Frenchmen, more hairy faces are unquestionably trendier right now, in particular among young men massively encouraged to wear the beard by women their own age."" The beard has seduced a large share of the male population by going much beyond ""bobo"" and other ""hipster"" borders through a social imitation process."
