title,text
"""Eco-design is now a standard practice,"" A. Hubin, Somater","Premium Beauty News - What are the main assets of Somater? Alix Hubin - The Somater Group is a renowned operator on various markets, in particular for offset decorated rigid tubes for pharmaceuticals, high-end air-blown injected cosmetic bottles with optimised and high-tech decoration, mascaras that we produce with a high productivity technology, blown extruded or co-extruded bottles, decorated or not, with automated packaging processes in order to reduce handling. With the purchase of the former Polyflex plant, which became Plastuni Normandie, Somater strengthened its already strong reputation as an air-blown plastic transformer. There was a very good know-how in this factory, it just needed to be developed through new investments, and that's exactly what we did. Our investments account for 8% of the group's turnover. For the Plastuni Normandie factory the rate reached 10%. Indeed, we purchased new air-blown injection machines, we reorganised and modernised the serigraphy equipment, and invested in new machines for improving the way we pack our products and reducing transportation costs. Premium Beauty News - What is the outcome of 2008 for your company? Alix Hubin - 2008 was a good year for the entire group. Thanks to our reactivity and our rapid decision making process, we are able to accompany our customers on many projects, even those requiring heavy investments. We recently participated in the launch of prestigious ranges, such as the line Démaq, Lancôme, Clarins' new Lift Minceur or Bourjois' new So Delicate gloss; and the new Efferalgan 1g with an easy opening system for which our customer, Bristol Myers Squibb got a Pharmapack in January 2009. All these launches were the occasion of advanced technological innovations. For instance, in order to make the Lancôme bottles, we invested in high-tech robotised tools. The decoration on Clarins and Bourjois bottles was only possible through special machines. Our motto has always been that when a company stops investing is a company that is just about to shut down. Thus we never hesitated to support our customers and to follow them when they needed, in particular to invest in the manufacture of their next launches. Premium Beauty News - And what is your vision for 2009? Alix Hubin - 2009 is likely to be a difficult year. The dramatic stock clearing operated by our customers, mainly in high end segment, is directly transformed into postponed orders. It is very difficult to know whether these delays are linked to a strong decrease of consumption or to a new form of supply-chain management. The shortening of payment delays may also contribute to this situation. Small mass retailers and beauty institute might have reconsidered their purchasing policy in view of the new French ""law for the modernization of the economy"". There's a real question regarding the possible impact of this law on the cash flow of the smallest retailers and on their purchasing policy. To date, beauty products in the mass market channel appear to be least affected. The quantity of calls for tenders remains high. There is a real will to launch new products to enhance the demand. I consider it is a sign that the industry is still very active and wants to prevent any risk of recession. As far as we are concern, our financial strength allows us to resist to the current recession. So far, I remain careful and not too worry for 2009. If necessary, we'll not hesitate to take any necessary measures if we see that orders do not come back while our customers should have entirely cleared their stocks. 2009 will be a challenging year in the packaging industry, which is used to that. The new factor is that it will also be a challenging year for beauty operators. Premium Beauty News - Is there a risk that environmental concerns do not survive difficult economic times? Alix Hubin – I consider as a very positive sign the fact that despite ""the crisis, environmental concerns still top the agenda. A growing number of calls for tenders require using recycled materials, even though these materials are not always the best option from a cost efficiency viewpoint. As far as we are concerned, we integrate eco-design practices on a routine basis in our work and our customers do really appreciate that. Eco-design is now a standard practice and there is no possibility to step back, whatever the economic context is. It is a real source of improvement, with demonstrated technical and economical impacts. Somater has initiated the process to be ISO 14001 certified. We are combining eco-manufacturing with the eco-design, through massive investments in low-consumption electrical machines, by making a wide use of frequency modulation to adapt consumption to the needs, and by using free-cooling for the production of iced water."
"""Make-up is offering opportunities,"" S. Castelletti, Faber Castell Cosmetics","Faber-Castell Cosmetics is part of the Faber-Castell group, one of Germany's largest and most traditional family-owned companies. Founded in 1761, the group's turnover achieved a turnover exceeding EUR 400 million for the fiscal year in 2007/2008. Faber-Castell has approximately 7,000 employees in 14 manufacturing sites and currently manufactures cosmetic products in Germany and Brazil, specializing in colour applications: wood-clenched pencils, capillary systems and liquids. Premium Beauty News - What is the outcome of the year 2008 for your company? Stefano Castelletti - Faber-Castell Cosmetics consistently develops new make-up concepts combining both product and packaging innovations. In 2008, we presented Double Deluxe, our luxury collection for eyes, with a new 3-D decoration technique offering a sensitive reptile ""touch"". Another example is Truly Natural, an overall ecological make-up concept with a formula certified by Ecocert, FSC-certified wood and a cap made out of biodegradable material. We also work in interdisciplinary teams with our stationary company to jointly interpret technical expertise in writing instruments into cosmetics. There's definitely more to come for 2009! Premium Beauty News - Forecasts for the year 2009 are not very optimistic. Within such a context, what is your message to the rest of the industry? Stefano Castelletti - Despite of downturns the dynamic market for make-up is offering opportunities on a global scale. We should focus on what is important, the products and our business, in an environment that is more sensitive, demanding and ambitious. At Faber-Castell, we have been managing efficiency regardless of economic downturns and have never really stopped optimising costs, performance and innovation. We will need more focus and cautiousness than before. Premium Beauty News - Is there a risk that environmental concerns do not survive difficult economic times? Stefano Castelletti - Sustainability and respecting the environment are counted among the core values at Faber-Castell to the extent that Count Anton Wolfgang von Faber-Castell, chairman of the board, was nominated ""Ecological Manager of the Year 2008"" by WWF (World Wide Fund For Nature) Germany and the economic magazine Capital. As such we will continue on managing our business with the sustainability principles that are traditional for Faber-Castell from product development to factory emissions: ecological balance and ecological reporting. It's our Nature because we are convinced that business success implies ethic standards."
"""The European market dropped about 2%""","Premium Beauty News - What is the outcome of the year 2008 for your company? Guy Mallinson - Our turnover dropped about 4%, in particular because our exports outside Europe drastically decreased as they were impacted by the weakness of the US currency. In parallel,the European market dropped about 2% while sales were very low during the fourth quarter. Premium Beauty News - What is your vision for the next six months? Guy Mallinson - Beyond general uncertainties, we expect the first quarter to be very difficult, in particular for the perfumery and cosmetics business where orders will be fragmented and projects delayed. Premium Beauty News - How does your company intend to overcome the recession? Guy Mallinson - If there's no demand we'll suspend our production. However, we think important to keep prices at a level allowing us to remain profitable and able to invest in the long term. Price hikes that we obtained in 2008 are not enough, even when considering recent that raw materials continued to decrease recently. Premium Beauty News - So, what about innovation? Guy Mallinson - Iggesund is investing huge human and financial resources in order to reach an almost unrivalled level of quality. We have launched the New Invercote in July 2008, bringing a fresher whiteness to the market, while preserving the qualities of a ""chic and warm"" product that remains elegant throughout years. Furthermore, whiteness durability, which is a factor as important as initial whiteness, was improved. Actually, these investments should help us to accelerate product improvements and I think that several novelties will be visible in 2010. Premium Beauty News - Environment and sustainable development are the new buzzwords in the industry. How do you address this challenge? Guy Mallinson - Traditionally, Iggesund used to be extremely discreet and did not really communicate on this issue. Actually, Iggessund should be presented as a model, in particular if we consider the amount of money that was invested in processes and equipments for cutting harmful emissions and decreasing energy consumption (in particular of fossil fuels). Our latest project to date is the implementation of a plan to reduce oil consumption in our Swedish plant, with the aim to be close to zero within 2 or 3 years."
Caution and pragmatism for SGD in 2009,"""As far as the perfumery industry is concerned, we must be cautious since the recession, which probably climaxed in the USA, will worsen in Europe,"" says Laurent Zuber. In a context of global crisis, ""only Brazil and, to a certain extent, China, appear to be able to resist,"" he adds. However, SGD can rely on strong assets, Laurent Zuber explains: ""thanks to our global implantation - six plants, seven furnaces, in France, Spain, in the USA, Russia, China and Brazil - we can even out the effects of the current economic cycle"". Premium Beauty News - Hopefully, the beginning of 2008 was very positive for SGD. Laurent Zuber - Actually, despite premonitory signs in Spain and in the USA, the first half of 2008 scored a growth rate of 7%. However, from September, everyone witnessed a rapid and general downturn, which was unpredictable. Eventually, we closed 2008 with a growth of more than 2% at fiscal year-end. Premium Beauty News - So what about the outset of 2009? Laurent Zuber - Since the beginning of the year, business slowdown has been very strong, with low range visibility over future orders. There has been a massive stock clearance from our customers. Paradoxically, we can already forecast a strong increase of the demand for glass vials as soon as the crisis ends, with a risk that the demand largely exceeds the production capabilities of glassmakers. Premium Beauty News - What is the best investment policy in such a context? Laurent Zuber - We carry on our ambitious investment policy, but we have adjusted it to the current economical environment. Premium Beauty News - And innovation? Is it still possible to make innovative glass products? Laurent Zuber - Yes, we just demonstrated it with the development of our ""Infinite Glass"", which is made of 100% recycled glass and has triggered strong interest. Some of our customers have already initiated creative reflections. Premium Beauty News - Is it the result of the work of your creative workshop? Laurent Zuber - SGD's creative workshop was created five years ago and we are constantly working to develop new technologies and new decorative materials. The creative workshop contributes to differentiate us from our competitors: all our glass development or decorative innovations are located in one single place. Our customers come there to finalize their projects. Furthermore, this workshop is the place where we create the Trends Books that we present to customers. Premium Beauty News - SGD participated in major launches during the latest months. Laurent Zuber - It is not possible to mention all of them here, but let's point out some most illustrative examples: ""For Him"" and ""For Her"" by Narcisso Rodriguez, ""One Million"" by Paco Rabanne, or ""MaDame"" by Jean-Paul Gaultier, with a bottle carved like a block of glass."
Toly to produce lipstick tubes in India,"Toly has announced that they have extended their product portfolio to include lipstick packaging. A new custom lipstick was launched for Hindustan Unilever. Toly's first lipsticks are being produced in their new factory in India as lipsticks are the No.1 product when it comes to colour cosmetic sales in India. Toly will now introduce its new standard mechanism to its western customer base such that they can tap into Toly's new capabilities from India, China or Malta."
Oeakametall seeks to capitalize on its strengths,"""Actually, it's true that the car industry is in a very harsh situation while, the cosmetics industry remains in a better shape, so far,"" explains G. Oehlhorn, Oekametall's CEO. With a turnover of 35 million euros in 2008, the German company remains one of the main European manufacturers of mascara and lip-gloss containers (75% of the cosmetics business), and lipsticks cases. ""The development of our mascara business has been a strong propeller for our company during the last three years,"" G. Oehlhorn underlines. Actually, one of Oekametall's main assets is its ability to handle the whole manufacturing process, including the manufacturing of traditional brushes. ""And will soon be able to make plastic brushes,"" G. Oehlhorn adds. ""This asset is strengthened by our structure: we are a familial company with a very high reactivity and quick decision-making processes, we have always been able to adapt ourselves to changing circumstances and to integrate other cultures,"" says G. Oehlhorn. Today's, the group runs two manufacturing units: one is in Bamberg, where are located metal and plastic transformation, finishing workshops, assembly lines and the production of brushes; the other one is the brand new CCO plant in Korbussen, which is specialized in surface coating, whether lacquering, polishing or metallization. A new production line for lip-glosses flocked applicators has recently been added to the COO's manufacturing equipment. ""Also note that, during the last decade, we have been working with a subcontractor in the Czech Republic for small series and hand assembly,"" G. Oehlhorn adds. The next step for the Oekametall is the reorganization of the decision-making process with the aim to enhance the potential for added-value creation. ""Believe me, there's a lot of work to do,"" G. Oehlhorn says. One more singularity for Oekametall, since the company will implement a method inspired from Japanese cars maker Toyota!"
The beauty industry seeks to reenchant cosmetic products,"As a first step, participants tried to identify the roots of difficulties that pre-existed the credit crunch, and that emerged on the occasion of the global slowdown in the form of a shift in the status of cosmetic products. Why ""products that used to sell better than the average consumption rate, did suddenly become less performing?"" questioned Joël Palix, President of Clarins Fragrance Group. Brands have failed to ""listen the society, and the evolution of what does luxury mean,"" commented Nathalie Duran, Deputy General Manager of YSL Parfums. Luxury, in particular for the youngest generations, is less linked to a specific object than ""to experiences, relationships,"" she said. For Joël Palix, these difficulties come from ""the lack of investment in the training of people who are in charge of selling products"" and the subsequent lack of knowledge about the product itself and what are the key factors of product quality. Thibault Ponroy, Director of International Luxury Purchases for AS Watson/Marionnaud, insisted on the price issue: ""In France, excepted in 2007, the growth of the market in value was just hiding the stagnation or the decrease of volumes sold."" For Xavier Renard, General Manager Fine Fragrance & Beauty Care Europe at IFF, some explanations might be found in ""the high rhythm of launches leading perfumers to develop new fragrances within delays that do not allow them to match with the level of innovation awaited by the market"". Actually, participants agreed that the offer's segmentation is becoming unclear, with old landmarks almost entirely blurred. ""There's a clear difficulty to identify one's target. To easily sort products designed for the prestige channel from those designed for the mass market,"" said Vera Strubi, the Honouring president of the Beautyfull Club. Indeed, ""the middle market appears as an attractive reference for most business models. However, niche brands demonstrated it is possible to sell expensive products when they are highly differentiating"", Thierry de Baschmakoff, the founder of the design agency Aesthete, said. Thibault Ponroy therefore called for a ""comeback to smartness"". Since, ""the only justification of a price is the creation of value"", he said. While participants widely shared this analyse they paradoxically also regretted the increased triviality and lack of differentiation of products, with ""perfumes made in three months, and others in three years,"" but sold at very similar prices, and just distant by ""a few centimetres from one the other on retail shelves"". The creation of more added-value would imply to go back to the sources of the ""spirit of enterprise,"" suggested Vera Strubi. In order to reintroduce passion and pleasure in the product development process, she proposed to create small multidisciplinary teams, featuring staff from all the company's departments: sales, marketing, purchases, etc. It was certainly not by chance if the Honouring president of the Beautyfull Club was promoting the opening of vertical borders! ""Marketing teams must meet suppliers on a regular basis, in order to be able to negotiate with the company's purchasing department,"" she explained. A point of view Thibault Ponroy shared. ""It is important not to be submitted to its own job, to be able to escape from the daily work in order to think and analyse, in particular through exchanges within the industry, with brand owners, retailers and suppliers,"" he said. Exactly what the Beautyfull Club is aiming at! Of course it was not possible to speak about value creation without mentioning innovation! According to Gérald Martines, General director of RPC Beauté, ""in a market with such a plethoric offer, brands imperatively need to stand out from the mass"". There is subsequently strong pressure to innovate for packaging suppliers. With, sometimes, ""impossible requests"" from brands simultaneously asking for low production costs, short time to market and innovation. ""Eventually, innovation is always the adjustment factor, with existing and well-known solutions being chosen in order to limit risks"". Behind the question of time lays the question of launches and their rhythms. For Joël Palix, ""It is important not to forget that the date initially scheduled for a launch is not settled for ever. One should never launch a product without being ready and proud of the product"". With the aim to carry on producing perfumes and cosmetics that make consumers dream, the President of Clarins Fragrance Group is betting on ""slow design"", by reference to the ""slow food"" movement that was born in Italy in reaction to junk food. ""We are working in the long-term. We are currently preparing the products that will be launched in the next three or five years"". For Joël Palix, a part of the solution is in the hands of retailers who may start making a selection among the endless succession of novelties. A task Thibault Ponroy is ready to fulfil. ""It is the mission of retailers to select the offer, and to contribute to segment the market in its outlets,"" he said."
IFF opens creative centre in Shanghai,"The centre includes state-of-the-art creation and application facilities, as well as a consumer insights centre that allows IFF and its customers to gain deeper understanding of the rapidly-changing needs and preferences of this dynamic region. Located at The North in the Putuo district of Shanghai, ""the centre provides a customer-focused environment for flavour and fragrance creation,"" IFF said in a release. The facility strengthens IFF's presence in Greater Asia and is part of an ongoing global program to expand and modernize its facilities to capitalize on strategic growth opportunities. ""IFF is dedicated to helping our customer grow their brands,"" said Robert M. Amen, chairman and CEO of IFF. ""To deliver on this, we must invest in material science, creativity, and consumer insights. The new Shanghai Creative Center is a wonderful demonstration of this commitment. I am confident that it will inspire our colleagues to create scent and taste experiences people love,"" he added."
LVMH announces another year of growth in 2008,"Group share of net profit was stable compared to 2007 and came to 2,026 million Euros. ""The 2008 results demonstrate the exceptional reactivity of our organization in this period of economic crisis. The Group has always emerged stronger from previous economic downturns thanks to the dynamic innovation of its brands, the quality of its products and the effectiveness of its teams. LVMH approaches the challenges and the opportunities of 2009 with confidence and determination and has set the objective of increasing its leadership position in the worldwide luxury goods sector,"" said Bernard Arnault, Chairman and CEO of LVMH. Perfumes & Cosmetics registered organic revenue growth of 8% in 2008. Profit from recurring operations reached 290 million Euros. The current operating margin reached 10%. According to LVMH, Christian Dior continued to win market share. ""The vitality of its star perfume, J'Adore, and the success of Dior Homme Sport, have contributed to the brand's strong momentum. Make-up is growing fast and has benefited from the success of the Dior Addict and Diorshow lines."" "" The excellent performance of Guerlain was supported by the successful launches of the masculine perfume Guerlain Homme and Le 2 mascara. The principal drivers of Givenchy's growth were the continued progress of Very Irresistible, the launch of the masculine fragrance Play and the new mascara Phenomen'Eyes. Benefit enjoyed rapid growth in China and confirmed its worldwide success, "" LVMH added. In 2008, Selective Retailing registered organic revenue growth of 9%. Profit from recurring operations was 388 million Euros. According to LVMH, ""DFS revenue grew slightly. The slowdown in Japanese tourism was offset by the momentum of other Asian clients. DFS benefited from this trend through the opening of the Macao Galleria and the airport concessions at Mumbai and Abu Dhabi. Opening new stores in these destinations requires short-term investment but constitutes an important source of future growth"". ""Sephora continued its strong momentum in 2008 which resulted in market share gains and a continued good level of profitability. Revenue growth on a same-store basis was steady. The brand is expanding its presence in key markets and continues the evolution of its existing store network. On-line sales have shown strong growth in France, the US and China. Sephora continued its differentiation strategy with a more innovative and exclusive product offering, complemented by a large range of in-store services and treatments."""
Weckerle plans to takeover Dr. Scheller Cosmetics' production,"Thomas Weckerle, owner and CEO of Weckerle, and Reinhold Schlensok, chairman of Dr. Scheller Cosmetics, said they already agreed upon the essential framework conditions. According to the proposed agreement, Weckerle would take over Dr. Scheller Cosmetics' production premises, factory buildings and facilities in Eislingen (Germany). All of the current 200 jobs would be maintained. Originally a manufacturer of automatic machines for the production of lipsticks, Weckerle has developed into a globally established contract manufacturer. ""By taking over Dr. Scheller's business with trademarks, Weckerle expects to get access to strategically important customers in Europe and overseas,"" Thomas Weckerle said in a release. Through this transaction, the Weckerle Group also aims at expanding its field of action in Germany. ""Weckerle has a strategic and long-term interest in the location of Dr. Scheller Cosmetics in Eislingen,"" said Thomas Weckerle. ""It is a production plant that has grown over decades and is successful because of competent and reliably operating employees with excellent know-how in the production of decorative cosmetics and toothpaste,"" he added. Weckerle operates other production units in Switzerland, France, North- and South-America. As far as Dr. Scheller is concerned, the divestment should help the company to concentrate their financial and personnel resources fully on promoting their brands. Dr. Scheller's portfolio features brands such as Manhattan, Manhattan Clearface, Dr. Scheller Naturkosmetik and Phyto Solutions. In connection with the take-over, both parties plan a medium-term agreement concerning production cooperation, in order to guarantee a trouble-free hand-over of the business. According to this agreement, Weckerle will continue to deliver the products that Dr. Scheller Cosmetics produce now at the site, for the next 5 years. Weckerle and Dr. Scheller Cosmetics declared their aim is to sign the agreement on the 2nd of April, 2009 with the take-over to occur the same day."
