title,text
Microplastics: How the EU plans to reduce pollution by 30% by 2030,"The European Union has launched an ambitious plan to reduce pollution linked to microplastics. The aim is to reduce releases into the environment by 30% by 2030. Ultimately, the new rules [1] will prohibit the sale of microplastics as such, and of products to which microplastics have been added on purpose and that release those microplastics when used. According to the European Commission, this will prevent the release to the environment of about half a million tonnes of microplastics. Microplastics are defined as synthetic polymer particles below five millimetres that are organic, insoluble and resist degradation. The first measures, for example the ban on plastic-based loose glitter and microbeads added to cosmetic formulations, have entered into force on October 17, 2023. In other cases, the sales ban will apply after a longer period (up to 12 years for some cosmetic products) to give affected stakeholders the time to develop and switch to alternatives. The immediate ban on loose glitter, mainly made of plastic and aluminium, but also on microbeads which are used in the composition of cosmetic products such as scrubs, is justified by the immediate availability of usable alternatives. In addition, the European Commission announced other proposals on Monday October 16, this time targeting plastic pellets. The proposed regulation includes compulsory best handling practices for operators, mandatory certification and self-declarations, a harmonised methodology to estimate losses, with lighter requirements for SMEs. In practice, companies will have to conduct risk assessments to ensure their operations are taking the right measures to avoid spillage. If there is spillage, they will have to act quickly to contain leaks and undertake cleaning operations if necessary. The proposed text will now be discussed by the European Parliament and the Council. According to the institution, between 52 and 184 thousand tonnes of pellets are released in the environment each year due to mishandling throughout the entire supply chain. The commission hopes the proposal will reduce pellet release by up to 74 percent. ""Microplastics are pervasive and we need to stop the pollution at the source,"" the EU’s environment commissioner Virginijus Sinkevicius said. Persistent, very mobile, and hard to remove from nature, microplastics have been found all over the world, even in the most remote locations, and in the human body. The risks related to high levels of human exposure are a cause of grave concern."
French industry speaks up for octocrylene as health agency calls for a ban,"The French Agency for Food, Environmental and Occupational Health Safety (ANSES) is calling for a ban on octocrylene in sunscreen products. The information revealed at the end of last week by French media has been confirmed by the Agency. Octocrylene is commonly used as a UV filter to protect the skin from the harmful effects of sunlight. In recent years, however, this substance has been criticized for its effects on the environment. In coral, octocrylene has been shown to accumulate in the form of fatty acid conjugates and trigger mitochondrial dysfunction [1]. A 2021 study also pointed to its degradation into benzophenone over time in tested commercial products. In its latest opinion from 2021, the Scientific Committee on Consumer Safety (SCCS) considered the use of this filter to be safe in sunscreen products at a maximum concentration of 10%. However, the committee’s analysis did not cover the environmental aspect which is the base of the French health agency’s request for a ban. According to the Agency, banning this filter would be the only option to reduce its presence in the environment and its harmful effects on the ecosystems. However, while it was sent on May 26 to the French Ministry of Ecological Transition, the recommendation was not forwarded to European authorities, an unusual situation. As far as it is concerned, the Ministry denied any attempt to block the process. France should therefore suggest its European partners to review all possible options regarding the safety of the substance. The French Federation of Beauty Enterprises (FEBEA) quickly reacted by stressing that the safety of octocrylene has been duly assessed by the SCCS in the 2021 decision. Regarding the impact of the substance on the environment, the FEBEA considers this allegation ""is not supported by robust methods"" and there is a lack of scientific consensus on the issue. ""Coral reef bleaching is mainly due to rising ocean temperatures linked to global warming, followed by other recognized factors such as overfishing,"" said the cosmetics industry advocacy group. In order to have a better view on the issue, the cosmetics industry is working within the International Collaboration on Cosmetics Safety (ICCS) to develop a standardized calculation model for the exposure of the marine environment to sunscreens. Once developed, the method will be made available to all stakeholders, including: cosmetic brands, public or private research organizations, and agencies. The model is expected be finalized by the end of 2023."
Canada joins countries banning cosmetic animal testing,"With the passing of Bill C-47, Budget Implementation Act, 2023, No. 1, the Canadian Parliament has amended the Food and Drugs Act (FDA) to ban cosmetic animal testing. The new legislative changes mean that in Canada, companies will no longer be allowed to test cosmetic products on animals or sell their cosmetics that rely on animal testing data to establish safety. The text received Royal Assent on June 22, 2023, with a coming into force six months later, on December 22, 2023. 
 According to Health Canada, the practice of testing cosmetics on animals was rarely conducted in Canada. However, by implementing this ban, the country is aligning with the global shift toward animal welfare and is joining a large number of countries that have already taken such measures, including all European Union countries, Australia, the United Kingdom, Brazil, Mexico and South Korea. The new legislation states that: “No person shall sell a cosmetic unless the person can establish the safety of the cosmetic without relying on data derived from a test conducted on an animal that could cause pain, suffering or injury, whether physical or mental, to the animal.” Some exceptions are listed, in particular when “the test was necessary to meet the requirement in order to sell the product in that country.” “Industry and animal protection advocates have worked together over the last several years to advance a cosmetics animal testing ban in Canada. Since this issue was first raised in Parliament through a Private Member’s Bill in the Senate in 2015, our group has met frequently to build a collaborative relationship and to align on the principles with Health Canada while ensuring the ban works within the Canadian regulatory framework. We are very pleased to see the government pass this long overdue legislation,” said Darren Praznik, President and CEO of Cosmetics Alliance Canada. “Cruelty Free International applauds the Canadian Government for taking action to fulfil the wishes of the vast majority of Canadian citizens who supported a ban on animal testing for cosmetics. This has been a unifying issue that has earned cross-party support in Canada and will match the progress we are seeing around the world as consumers, companies, regulators and advocates come together to achieve a common goal of ensuring that animals won’t suffer for the sake of cosmetics anywhere,” also said Monica Engebretson, Head of Public Affairs North America, Cruelty Free International."
"“Industry is not looking for loopholes,” says CTPA about ban on animal testing","The whole situation results from two decisions by the Board of Appeal of the European Chemicals Agency (ECHA) [1] in August 2020, requiring German chemicals manufacturer Symrise to carry out several toxicity tests on animals on two chemical UV filters (homosalate and 2-ethylhexyl salicylate), used exclusively in sunscreen formulations, to fulfil ‘tick-box’ registration requirements for worker safety under the Registration, Evaluation and Authorization of Chemicals (REACH) Regulation. In the wake of the ruling, key players from the cosmetics industry, including Avon, L’Oréal, Procter & Gamble, Unilever and Lush, have joined forces with Humane Society International to oppose a decision that would undermine “the EU’s animal testing ban success story.” A joint campaign was even launched in 2021, calling on European citizens to mobilize against ECHA’s decisions. To clarify the legal situation in the United Kingdom, Cruelty Free International brought the case before the High Court of Justice saying the British government had not communicated clearly on the fact that it had aligned with ECHA’s Boar of Appeal ruling. In a judicial review of the Home Office’s policy on animal testing, the High Court dismissed the complaint and confirmed that in some case, chemicals used in cosmetics may be tested on animals as a last resort, to prove their safety for workers or the environment for the purposes of the REACH regulation on chemicals. This has been interpreted by Cruelty Free International as the proof that the government had abandoned the ban. “This is absolutely not the case,"" said Dr Emma Meredith, Director-General of CTPA. “Animal testing on cosmetic products has been banned in the UK since the late 1990s and these strict bans remain in place and will continue to be a key part of the UK cosmetics law, whether or not a product makes a ‘not tested on animals’ or ‘cruelty-free’ claim.” Indeed, CTPA considers the UK High Court ruling does not override the Cosmetics Regulation bans on animal testing. The association has sought reassurance from the Home Office, and said a Government spokesperson confirmed: “There has been no change in our legislation and the ban on using animals for the testing of finished cosmetic products remains in force.” Actually, the regulatory dilemmas are basically the same in the UK and within the European Union. Both the UK Cosmetics Regulation and the EU Cosmetic Products Regulation ban animal testing of cosmetic products and their ingredients. However, the ingredients in cosmetics are also subject to other chemical safety laws, including the REACH Regulation, which sometimes requires substances to be tested on animals, in particular to ensure the safety of workers who might be exposed to chemicals, and the environment. That was the meaning of ECHA’s 2020 rulings. Cruelty Free International considers that ECHA’s and the UK High Court’s interpretation of the legislation is creating loopholes and that the stringent bans on animal are finally abandoned. Therefore, the NGO is now seeking permission to appeal to the Court of Appeal against the judge’s ruling. Commenting on the decision, Cruelty Free International stressed the judge also said that there was nothing to prevent the Government from reinstating the policy ban. “The Government does not have to slavishly follow legislation coming from the EU. It should do what the overwhelming majority of British people want,” said the animal rights advocacy group. “The UK Cosmetics Regulation is clear in specifying that in order to meet its requirements cosmetic products may not be placed on the UK market if the final formulation, ingredients in a final formulation, or a finished product have been subject to animal testing if the purpose of the tests was compliance with the UK cosmetics laws, no matter where such tests took place. There are no loopholes and the cosmetics industry is not seeking to circumvent these important bans,” commented CTPA in a statement."
EU REACH Committee votes to ban microplastics from most daily life products,"On August 30, 2022, the European Commission presented a proposal to amend the REACH Regulation in order to address the proliferation of synthetic polymer microparticles (the so-called “microplastics”). On April 26, 2023, after a lengthy legislative process and heated discussions between member states and consultations with the various stakeholders, the REACH Committee voted in favour of the Commission’s proposal. The text aims to progressively phase out microplastics of everyday products, like cosmetics, fragrances and home cleaners, as well as of fertilizers, paints and artificial sports turfs. It defines microplastics as solid polymers contained in microparticles or microparticles which have a solid polymer surface coating, and used as a substance on their own or in a mixture in a concentration equal to or greater than 0,01% by weight. According to the European Commission, the proposed restriction would prevent the release in the environment of about 500,000 tonnes of microplastics, at an estimated total cost up to EUR 19 billion Despite intense advocacy from NGOs and from some cosmetics makers, the Committee granted several industries transitional periods to implement the ban. These deadlines range from six years for sports fields and encapsulated fragrances, to five years for detergents and some pesticides, and twelve years for some leave-on makeup products, such as lipsticks and nail polish. Rinse-off cosmetic products will have a four-year transitional period. However, the text says that “in order to encourage the substitution of synthetic polymer microparticles in make-up, lip and nail ‘leave-on’ cosmetic products before the end of the transitional period,” these products will have to bear a label informing consumers that they contain microplastics, eight years after the entry into force of the regulation. Before the official adoption of the text, EU Parliament and Council have a three-month scrutiny period, after which the Regulation will enter into force immediately."
Fragrance dupes are all the rage among younger shoppers. What the price?,"On TikTok, the #dupes hashtag has no less than two billion views. All the hashtags dedicated to fragrance dupes — and there are many of them — total well over 500 million views, reflecting the interest that users have in these imitations. Beyond fragrances, dupes exist in many sectors, including fashion, but also cosmetics, with dupes of skincare products, makeup, or perfumes. While low-cost imitations are nothing new, the phenomenon has taken on particular importance in the era of social networks where the quest for “good deals” has become one of Gen Z’s favourite sports. In terms of perfumery, the aim is to identify accessible fragrances that smell as close as possible as some of the world’s great designer scents. A game that is not very difficult, as fragrance duplicates are common in a world where there is no patent for scents. On social networks, Internet users therefore publicly engage in a big-scale game of scent comparisons. According to Stylight, the scent of the Baccarat Rouge 540 fragrance from Maison Francis Kurkdjian, for instance, would have been compared by TikTok users to the much cheaper Cloud by Ariana Grande. The fact that Internet users and influencers share “good deals” spotted among the plethora of perfumes available on the market is not really a problem. But the game sometimes takes a curious twist. The many videos themed on the trend seem to feature a lot of products by retailers such as Zara, Lidl, Action, Primark, or Mango. We can thus learn that Zara’s ’Gardenia’ apparently would smell just like Yves Saint Laurent’s ’Black Opium’, and that ’Lovely de Suddenly’ by Lidl would be a dupe of Dior’s ’J’adore’ scent. Outside the social networks, the media — whether specialist and generalist — often reproduce identical lists referring to the same distributors. In many cases, it looks like these comparisons might be – at least partly – controlled by third parties and are getting dangerously close to the limits set by industrial and commercial property rights. As long as they do not reproduce the designs and models of the brands they are referring to, and as long as they do not imitate their names, dupes are not considered to be counterfeits. However, certain practices may be sufficient to bring the law into play. It might be useful to remind that in 2014, a French court found that a company managing a site named www.pirate-parfum.fr was guilty of brand infringement. According to the judges, the company was not making reference to famous brands in order to compare its own products, but to profit from their fame by sparing itself the marketing design and development costs their owners did meet to become as famous as they are now. Whether they name their products dupes, generic perfumes, or designer-inspired perfumes, brands such as Nox, Divain, Eden Perfumes or Noted Aromas are using commercial practices that are very similar to those then condemned by French courts. However, none of these brands is located in France, and the case law on these subjects is quite variable from one country to another, even within the European Union. Moreover, court delay can be very long. Recently, Spanish-based chain retailer Equivalenza was sentenced by French courts to a fine of 400,000 euros - including 200,000 euros suspended - for trademark infringement with regard to major perfume brands, after almost eight years of legal proceedings! “Equivalenza was sentenced for the distribution and use of ‘correlation’ tables. But, to date, the case law history on dupes is inexistent,” highlights Xavier Guéant, Director Legal Affairs at France’s Fragrance, Cosmetics and Toiletries Federation (FEBEA). “However, this a highly symbolic decision. It marks an important step in the defence of the intangible perfumery heritage, and it should initiate a reflection about the practices of some industry players. And we are obviously very attentive to the practices that are now driven by the rise of social networks,” adds Guéant. In parallel to a well-informed comparison from beauty addicts searching for good deals, dupes could also hide the mere reinvention – with a new name – of old practices that have been judged illegal in the past. In any case, it is very unlikely that dupes announce the advent of a new way of consuming fragrances and the emergence of what some call “fast perfumery”. Indeed, the practice is closely linked to the innovation and creativity of major brands and cannot get any autonomy from those who set the trends."
Group of beauty brands calls on EU for swifter ban on microplastics,"Claiming to be microplastic-free already, the letter signatories [1] say the upcoming legislation does not go far nor fast enough “in its current format,” largely due to “exceptionally long transition periods”. Under the current proposal, transition periods would vary from four years for rinse-off products to 12 years for certain makeup products. Encapsulated fragrances would benefit for a five to eight year delay, and leave-on cosmetic products would have six years to adapt. The main arguments supporting these transition periods are the lack of alternatives, the cost of reformulation and the potential impact on how the products perform. A list of claims that the signatories of the open letter deem irrelevant. “The exceptionally long transition periods in the current proposal, especially 12 years for products such as make-up, remain at odds with the principles laid down in ongoing European Commission initiatives and therefore have no justification,” they say. They believe the legislation as it is proposed now is too flexible unnecessarily lenient since alternatives already exist. “It is clear that part of the industry doesn’t want to change,” says Sjoerd Trompetter, co-founder of Dutch personal care brand Naïf. “We have been making microplastic-free products for ten years. With great alternatives and without complaints. So it’s not that hard!” he adds. However, there is an urgent need to act, the microplastic-free brands say. Weleda quotes recent studies that found that 9 out of 10 care products still include microplastics. They contend that in Europe alone, 7kg of plastics from cosmetics are flushed into the environment every minute. Microplastics have been found in the human blood, lungs and even the placenta. “We urge the European Commission to implement decisive, consistent, and rapid introduction of microplastic-free legislation as a matter of urgency. We feel there is no justification for the exceptionally long 12-year transition period when certified natural cosmetics brands such as Weleda show that working without using microplastics at all has always been possible,” says Nataliya Yarmolenko, Chief Commercial Officer at Weleda. The request would have the support of public opinion. Indeed, more than 52.000 people across Europe have already signed a petition by the Plastic Soup Foundation to ban all microplastics in cosmetics and personal care products. The open letter signatories also underpin their request on a recent study by Provenance also shows that 9 out of 10 shoppers believe sustainability and ethics-related considerations are important when buying beauty and wellness products. [2] In 2015, Cosmetics Europe had recommended manufacturers to discontinue the use of synthetic, solid and non-biodegradable plastic particles used for exfoliating and cleansing in wash-off cosmetic products placed on the market as of 2020. However, the use of plastic polymers in the cosmetics industry is far from being limited to these products. Nevertheless, the development of alternative solutions may be complex, as in the case of encapsulation, and the need for innovation is growing urgently."
France tightens rules on “net zero” claims to take aim at greenwashing,"One of the most consensual measures of the French Climate and Resilience Law [1], which was voted in 2021, has entered into force on January 1, 2023. The text requires to all companies that highlight the carbon neutrality of a product or service to produce a report on all the greenhouse gas emissions of the said product or service. The report must be updated every year and cover the entire life cycle, from production to disposal or recycling. It must also explain how greenhouse gas emissions will be avoided as a priority, then reduced and finally ""offset"". If the emissions of the product or service concerned have increased between two successive years, the ""carbon neutral"" claim is prohibited. Finally, the offsetting methods used for the residual emissions will have to be detailed, including the nature and description of the projects and their cost. This obligation concerns claims as ""carbon neutral"", ""zero carbon"", ""zero carbon footprint"", ""climate neutral"", ""fully compensated"", ""100% compensated"" or with any wording of equivalent meaning or scope. [2] Advertising or packaging bearing the claim of carbon neutrality must also include a link to a website detailing the company’s climate plan. In case of violation, the company may have to pay a fine of 100,000 euros, which can be increased up to the total amount of the expenses devoted to the advertising campaign. The French government has said the goal is to provide transparent information for the public, to ""progressively strengthen the commitments of advertisers"" and to combat ""greenwashing"". The measures come after United Nations experts recently issued a raft of new guidelines aimed at drawing a ""red line"" around bogus net zero claims. The new recommendations from UN experts, published in November at the COP27 talks in Egypt’s Sharm el-Sheikh, say firms cannot claim to be net-zero if they invest in new fossil fuels, cause deforestation or offset emissions with carbon credits instead of reducing them. UN chief Antonio Guterres has called for companies to update their net-zero pledges within a year to meet the new criteria. In November, French climate activists from the association Notre Affaire À Tous said they had filed complaints with advertising regulators in several European countries over claims that the football World Cup in Qatar would be carbon neutral. Also last year, Britain’s Advertising Standards Authority hit out at HSBC for adverts promoting its green initiatives that failed to highlight the bank’s contributions to greenhouse gas emissions and banned further use of the posters. Britain’s financial watchdog has also proposed toughening regulations of environmental claims, including of investment product sustainability labels and restrictions on terms such as ""green"", ""sustainable"" and ""ESG"" (environmental, social, and governance)."
New York joins the list of states that ban cosmetics tested on animals,"Governor Kathy Hochul has signed into law the New York Cruelty Free Cosmetics Act (A.5653B/S.4839B) that will prohibit the manufacture and sale of cosmetics in New York State that have been tested on animals, beginning in January 2023. Instead, manufacturers will have to use widely available non-animal testing methods. However, cosmetics currently on sale will remain available and several other exceptions are provided for by the text. The bill, which was sponsored by Assemblymember Linda B. Rosenthal and State Senator Alessandra Biaggi, passed the New York State Assembly and New York State Senate with almost unanimous bi-partisan support. “More consumers than ever are demanding cruelty-free cosmetics, and I am proud that my legislation banning the sale of cosmetics tested on animals has been signed into law. I am proud to have worked with Cruelty Free International in passing this legislation into law and look forward to seeing more states follow in New York’s footsteps,"" said Linda B. Rosenthal. ""New York has finally joined the list of forty countries that have taken a stand against this harmful practice. Protecting the safety of humans by testing cosmetics is extremely important, but does not mean that animals must serve at their expense for our wellbeing,” added Senator Alessandra Biaggi. The new legislations was also supported by the Personal Care Products Council (PCPC). With 600 member companies representing more than 90% of the U.S. beauty industry, PCPC is the leading trade association representing cosmetics and personal care products companies in the U.S. The passing of the New York Cruelty Free Cosmetics Act could pave the way to the vote of a federal legislation. “U.S. history has shown that state activity leads to changes at the federal level. Because of New York’s association with the fashion and beauty industries, passing the New York Cruelty Free Cosmetics Act could be the tipping point that leads to the passage of a federal Humane Cosmetics Act,” commented Monica Engebretson, Head of Public Affairs North America at Cruelty Free International. The Federal Humane Cosmetics Act - the latest version of which was introduced in the House in December 2021 - would ban the sale and manufacturing of animal tested cosmetics throughout the US. More than 375 companies have signed on to support the legislation for a nationwide ban, including Walgreens, The Body Shop, Unilever, H&M and Paula’s Choice, according to the Humane Society. ""Now it is up to Congress to pass the Humane Cosmetics Act to bring about a consistent standard for ending cosmetics animal testing across the country,"" said Brian Shapiro, New York state director for the Humane Society of the United States."
California bans PFAS in cosmetics and textiles,"California is once again at the forefront of the regulation of chemical substances in the United States. After having banned PFAS in paper-based food packaging and juvenile products on October 2021, the state is now prohibiting the substances in cosmetics and textiles. Sometimes referred to as ""forever chemicals,"" PFAS have been the subject of various studies and evaluations, some highlighting how these compounds can remain in the environment or have harmful effects on health. The adoption of these of restrictions on PFAS follows several warnings about their relatively frequent presence in many everyday consumer products. Last year, a study published in Environmental Science & Technology Letters on 231 cosmetics purchased in the United States and Canada showed that sevaral of them contained PFAS. [1] In detail, more than three quarters of the waterproof mascaras analyzed — but also nearly two thirds of the foundations and liquid lipsticks, and more than half of the eye and lip products — had high concentrations of fluorine, the researchers stated. On the heels of the publication of this study, two Senators had introduced a bill titled ""No PFAS in Cosmetics Act"" in order to require the FDA to ban the addition of PFAS to cosmetic products [2]. A similar proposal has been submitted in the House of Representatives [3], but both texts still need to be discussed. However, Californian legislators moved faster than those in Washington. As far as textiles are concerned, Assembly Bill No. 1817 prohibits the manufacture, distribution, or sale within the state of any new articles containing regulated PFAS beginning January 1, 2025 [4]. When it comes to cosmetics, Assembly Bill No. 2771 prohibits the manufacture, distribution, or sale of any product in the state that contains “intentionally added PFAS” starting January 1, 2025 [5]. The text greatly expands on AB 2762, a bill passed on September 30, 2020, that banned the manufacture, distribution, or sale of 13 specified PFAS substances in cosmetic products. Perfluoroalkyl and polyfluoroalkyl substances or PFAS are defined as fluorinated organic chemicals containing at least one fully fluorinated carbon atom. However, Governor Gavin Newsom vetoed a bill that would have required certain businesses to submit annual reports concerning the usage of PFAS in products sold or imported in California [6]."
