title,text
EU packaging waste generation sees biggest increase in 10 years,"From parcels for online purchases to coffee-to-go cups, packaging is almost everywhere, and the recent figures published by Eurostat, the statistical office of the European Union, unveil the scale of packaging waste in the EU. According to these figures, the generation of packaging waste per inhabitant rose by 10.8 kg between 2020 and 2021, the biggest increase seen in the last 10 years. Since these figures compare the start of the Covid-19 pandemic with the year that followed, the end of lockdowns and other restrictions, as well as the return to offices, could be seen as potential driving forces. Except that this mass of waste has soared by almost 32 kg compared to 2011. All in all, a European generates a total of 188.7 kg of packaging waste per year. As a result, the EU generated a total of 84 million tonnes of packaging waste in 2021, of which 40.3% were paper and cardboard. The rest was composed of plastic (19%), glass (18.5%), wood (17.1%) and metal (4.9%). The good news is that plastics are being recycled better than ever before. Over the last decade, between 2011 and 2021, the quantity of this type of waste has risen by 26.7%, while the recycling rate has also risen to 38.1%. Today, the average European generates 35.9 kg of plastic packaging waste, of which 14.2 kg is recycled. However, the situation varies from one EU member state to another. Some, such as Slovenia (50%), Belgium (49.2%) and the Netherlands (48.9%), manage to give a second life to almost half of all plastic, whereas this is the case for less than a quarter of such waste in Malta (20.5%), France (23.1%) and Sweden (23.8%). As far as the rest of the world is concerned, few countries provide with statistics as detailed as the European Union regarding the production and recycling of packaging waste, but the OECD figures show a constant and very rapid increase in the quantity of packaging produced every year."
Acai berry craze: boon or threat for the Amazon rainforest in Brazil?,"Consumed without further processing, in juice or sorbet, or incorporated into the formula of certain cosmetic products such as moisturizing lotions or shampoos, açaí berries have become the darling of superfood enthusiasts around the world. Brazil is the world’s leading producer of acai berries. Para, the source of 90 percent of the country’s crop, produced almost 1.4 million tonnes of it in 2021, worth more than USD 1 billion for the state’s economy, according to the Brazilian Institute of Geography and Statistics (IBGE). From there, acai went on to win fans worldwide, from the United States to Europe, Australia and Japan. Brazilian exports of acai and its derivatives surged from 60 kilograms in 1999 to more than 15,000 tonnes in 2021. However, the global success of the black berries is reshaping the world’s biggest rainforest — for better and worse. In the Amazonian state of Para during the harvest season, farmers can fill up to 25 large baskets of about 14kg each, bringing home between 300 and 625 reais (USD 60 to USD128). Middlemen buy the berries and bring them by boat to Belem, the state capital, where they are sold as quickly as possible, before the fragile fruit goes bad. Acai production has long been presented as a model of “bio-economy”, a source of income for local populations in the Amazon without cutting into the rainforest. But studies show the expansion of acai palms (also called açaizeiros) in is causing a loss of biodiversity in some regions by replacing other species. ""Leave nature to its own devices, and you get 50 or maybe 100 acai plants per hectare,"" says biologist Madson Freitas of the Museu Goeldi research institute in Belem. ""When you go beyond 200, you lose 60 percent of the diversity of other native species."" He has published a study on the phenomenon, which he calls ""acai-ification."" According to Freitas, the loss of other plant species in turn has a negative effect on acai, which becomes less productive because of a loss of pollinators such as bees, ants and wasps. Longer dry periods in the Amazon, which may be exacerbated by climate change, are also hurting acai, which tends to grow on land that floods during the rainy season. Freitas says that sustainable acai production is possible but that stronger conservation laws and policing — as well as incentives for farmers — are needed to combat single-crop farming and preserve the rainforest. Salomão Santos, a local leader in Igarape São João, admits acai’s dominance could become a problem. ""Those of us who live in the Amazon know we can’t live on one single species,"" he says. He recalls the commodity booms and busts of the past, such as sugar cane and rubber. He wants compensation for local communities who preserve the Amazon, whose hundreds of billions of carbon-absorbing trees are a vital resource against climate change."
"Voluntary deforestation carbon credits failing, study finds","As climate change accelerates and pressure mounts on corporations and countries to slash emissions, the market for carbon credits has exploded. The principle is quite simple: to offset the carbon emissions linked to their activities, companies buy carbon credits, which will be used to invest in forest protection or tree planting projects. In carbon markets, a single credit represents one tonne of CO2 that is either removed from the atmosphere by growing trees, or prevented from entering it through avoided deforestation. Such schemes, however, have long been dogged by charges of poor transparency, dodgy accounting practices, and in-built conflicts of interest. To accurately assess the effectiveness of projects financed by carbon credits, an international team of researchers explored the effects of several projects to reduce emissions from deforestation and forest degradation (REDD) launched in six countries across the world. [1] The results of the study, which were published Thursday, August 24 in the journal Science, provide a clear conclusion: “Most projects have not significantly reduced deforestation.” Only 5.4 million out of 89 million credits — about six percent — actually resulted in carbon reduction through forest preservation, the study found. Although some projects were successful, the reductions were significantly lower than what had been announced. According to the study: “Methodologies used to construct deforestation baselines for carbon offset interventions need urgent revisions to correctly attribute reduced deforestation to the projects, thus maintaining both incentives for forest conservation and the integrity of global carbon accounting.” ""Carbon credits provide major polluters with some semblance of climate credentials,"" said senior author Andreas Kontoleon, a professor in the University of Cambridge’s department of land economy. ""Yet we can see that claims of saving vast swathes of forest from the chainsaw to balance emissions are overblown."" ""These carbon credits are essentially predicting whether someone will chop down a tree and selling that prediction,"" he added in a statement. ""If you exaggerate or get it wrong — intentionally or not — you are selling hot air."" The new study is among the first peer-reviewed assessments across a number of representative projects. To assess the performance of 18 forest protection schemes in different countries, the researchers identified parallel sites within each region with similar conditions but without forest protection schemes. Of the 18 projects, 16 claimed to have avoided far more deforestation than took place at the comparison sites. There are several possible reasons that protection schemes have fallen so far short of their carbon sequestration claims. One is that they are calculated on the basis of historical trends that can be inaccurate or deliberately inflated. The operation must also project deforestation or afforestation rates over an extended period of time, which is difficult. In addition, projects may be located in areas where substantial conservation would have occurred in any case. The entire methodology serving as the basis for these carbon credits must therefore be reconsidered!"
"Protecting corals requires a multifactorial approach, study finds","The study published the journal Nature, which is based on 20 years of data from the US island of Hawaii, says that combining local efforts to limit the impact of humans on both the land and sea give coral reefs a greater chance at bouncing back. [1] ""We found that both land-based (for example wastewater pollution) and sea-based human impacts (for example fishing) must be reduced together to ensure coral reef persistence,"" the study’s co-lead author Gareth Williams, a marine ecologist at the UK’s Bangor University, told AFP. The release came just days after it was revealed that the temperature of the world’s oceans rose to their hottest level ever recorded on July 30. Using high-resolution data and thousands of hours of underwater surveys, the researchers looked at connections between human impacts and the recovery of the reef. They found that not all coral reefs suffer equally during heatwaves. In 18 percent of the reefs surveyed during an unprecedented marine heatwave in Hawaii in 2015, coral cover remained unchanged — and in some cases, increased — despite the heat. Their ability to recover was dependent on how strained they were by various human pollutants and how many algae-eating fish were around to pave the way for regrowth, the study said. The more negative impacts that were remedied, the better the reefs recovered, offering a potential path ahead for conservation efforts. The researchers carried out modelling which indicated that simultaneously reducing these problems on land and sea gave reefs an up to six times higher chance of regrowing after a heatwave than if the efforts were carried out separately. ""Resource managers have aspired to manage land and sea together, but because governance tends to be centralised, most terrestrial- and ocean-management efforts remain siloed,"" said the study’s co-lead author Jamison Grove of the US National Oceanic and Atmospheric Administration. But the researchers warned that the frequency and severity of coral bleaching as ocean temperatures rise due to human-caused climate change could ""simply overwhelm the positive effects of local management actions"". According to the IPCC, since 1982, marine heat waves have been twice as frequent as befor. And by 2100, they could be 10 times more intense if greenhouse gas emissions are not drastically reduced."
"Plastic litter in oceans overestimated but still a concern, study suggests","Scientists based in the Netherlands and Germany carried out 3D computer modelling using extensive observational data and measurements taken from surface water, beaches and the deep ocean from 1980 to 2020. The modelling study estimated that pieces of plastic bigger than 25 millimetres (one inch) make up over 95 percent of plastic floating on the ocean. While most plastic particles in the ocean are very small, the total mass of these microplastics — defined as less than five millimetres (0.2 inches) — is relatively low. “The majority of plastic mass is contained in the large plastic items (>25 mm),” which float more easily, said the authors of the study. Commenting the results, recently published in Nature Geoscience [1], the researchers said the preponderance of larger floating pieces suggests that the total amount of plastic in the ocean is ""much lower"" than previously thought. But the study also showed that the total amount of plastic on the ocean surface — about 3.2 million tons — is much higher that initially estimated. However, the model also found that less new plastic finds its way to the ocean every year than previously thought — about half a million tonnes instead of four to 12 million tonnes — stemming largely from coastlines and fishing activity. The fact that the plastic is floating around in large pieces could with help clean-up efforts. ""Large, floating pieces on the surface are easier to clean up than microplastics,"" the study’s co-author Erik van Sebille of Utrecht University in the Netherlands said in a statement. However, the combination of more surface plastic and less new plastic suggests that ""it will take longer until the effects of measures to combat plastic waste will be visible,"" the study’s lead Mikael Kaandorp said. ""If we don’t take action now, the effects will be felt for much longer,"" he added. And the amount of plastic pollution in the world’s oceans is still growing. Without further mitigation and clean-up, the lingering plastic litter could double within two decades, according to the study’s authors. Concern over the impact of plastics on the environment and human well-being has surged in recent years. Plastic debris is estimated to kill more than a million seabirds and 100,000 marine mammals each year, according to the United Nations Environment Programme. The new study comes as the world awaits the first draft of a highly anticipated international UN treaty to combat plastic pollution, expected in November."
Consumers in Asia and Europe think sustainable goods are too pricey,"Doing more for the planet as an individual and embracing more environmentally-friendly practices can be a complicated matter, with progress being made but significant obstacles in the way. As heatwaves affect large swathes of the planet — and researchers suggesting that these episodes have been made more likely by human-caused climate change — we’re reminded of how urgent it is to find solutions to better preserve the environment. However, consumers in Europe and Asia seem willing to do their part of the job, albeit with reservations… A report commissioned by Chinese group Alibaba from UK-based consultancy firm Yonder Consulting indicates that consumers have a deep-seated desire to take action for the preservation of the planet [1]. Nearly three-quarters (73%) of a sample of over 14,000 consumers surveyed in Europe, the Middle East and Asia say they want to adopt a more sustainable lifestyle. In emerging Asian markets this proportion rises to 87%. However the obstacles preventing consumers from purchasing more sustainable products are the same in Europe and Asia. Greenwashing, for example, is a major issue. Some 38% of consumers worldwide question the trustworthiness of brands marketing products as sustainable, with 56% of Thais, 48% of French and 47% of Singaporeans expressing doubts about the real motivation of such companies. These are the three countries in the world where consumers are most likely to believe that a company’s environmental claims are another way for it to justify selling more expensive products. And pricing is the other area where Asia and Europe find common ground. For 45% of consumers worldwide, sustainable products are too expensive. And it’s hard to be a more responsible consumer when everyday products are so expensive — a view shared the world over. Thirty-three percent of this large sample indicate that if sustainable products were more accessibly priced, it would be easier to make choices that are more in line with protecting the planet. For 84% of Thais, sustainable purchasing is prohibitively expensive, which was the case for 41% of the United Arab Emirates respondents and 37% of Spaniards. Among the regions surveyed, Asians show the greatest motivation and interest in finding information in order to make their patterns of consuming more sustainable. Consumers in the Philippines (93%) and Indonesia (91%) are the most likely to welcome getting more information about becoming sustainable. More than anywhere else, people in emerging Asian markets are keen to know how to make more sustainable online purchases (88% vs. 66% in Europe)."
Global decarbonation: Carbon ’capture’ technologies are booming,"CCS syphons off CO2 from the exhaust, or flue gas, of fossil fuel-fired power plants as well as heavy industry. The exhaust from a coal-fired power plant is about 12 percent CO2, while in steel and cement production it is typically double that. Unlike CCS, which by itself only prevents additional carbon dioxide from entering the atmosphere, DAC extracts CO2 molecules already there. Crucially, this makes DAC a ""negative emissions"" technology. It can therefore generate credits for companies seeking to offset their greenhouse gas output — but only if the captured CO2 is permanently stored underground, such as in depleted oil and gas reservoirs or in saline aquifers. The concentration of carbon dioxide in ambient air is only 420 parts per million (about 0.04 percent), so corralling CO2 using DAC is far more energy intensive and the cost is much higher. Once isolated using either CCS or DAC, CO2 can be used to make products such as building materials or ""green"" aviation fuel, plastic bottles, fragrance ingredients or fragrance alcohol. Although some of that CO2 will seep back into the air, these practices are believed to result in a significant reduction in new carbon emissions. The fossil fuel industry has been using CCS since the 1970s but not to prevent CO2 from leaching into the atmosphere. Rather, oil and gas companies inject CO2 into oil fields to extract more crude more quickly. Historically, bolting CCS facilities onto coal- and gas-fired power plants and then storing the CO2 to reduce emissions has proven technically feasible but uneconomical. The world’s largest CCS plant, the Petra Nova facility in Texas, was mothballed three years after opening in 2017. But the looming climate crisis and government subsidies have revived interest in CCS for the power sector and beyond. At the end of 2022, there were 35 commercial-scale facilities worldwide applying carbon capture technology to industry, fuel transformation or power generation, isolating a total of 45 million tonnes (Mt) of CO2, according to the International Energy Agency (IEA). DAC, by contrast, is very new. A total of 18 DAC plants globally only captured about as much CO2 last year (10,000 tonnes) as the world emits in 10 seconds. Both CCS and DAC must be massively scaled up if they are to play a significant role in decarbonising the global economy. To keep the mid-century net-zero target in play, CCS will need to divert 1.3 billion tonnes a year from power and industry — 30 times more than last year — by 2030, according to the IEA. And DAC will have to remove 60 million tonnes of CO2 per year by that date, several thousand-fold more than today. But the nascent industry is burgeoning with new actors, and the first million-tonne-per-year plant is scheduled to come on line in the United States next year, with others following. ""It’s a huge challenge but it’s not unprecedented,"" University of Wisconsin–Madison professor Gregory Nemet told AFP, citing other technologies, including solar panels, that have scaled up dramatically in a matter of decades. Preparing a site to stock CO2 can take up to 10 years, so storage could become a serious bottleneck for both CCS and DAC development. CCS costs USD 15 to USD 20 per tonne for industrial processes with highly concentrated streams of CO2, and USD 40 to USD 120 per tonne for more diluted gas streams, such as in power generation. And DAC — still in its infancy — has much higher costs, ranging today from USD 600 to USD 1,000 per tonne of CO2 captured. Those costs are projected to drop sharply to USD 100-USD 300 per tonne by 2050, according to the inaugural ""State of Carbon Dioxide Removal"" report, published earlier this year. As countries and companies feel the pinch from decarbonisation timetables and net-zero commitments, more money — public and private — is flowing toward both CCS and DAC. In the United States, the Inflation Reduction Act (IRA) earmarks billions of dollars in tax credits for CCS. The earlier Infrastructure Investment and Jobs Act provides about USD 12 billion over five years. Canada’s 2022 budget also extends an investment tax credit that cuts the cost of CCS projects in half. South Korea and China are also investing heavily in the sector, with China opening a 500,000-tonne plant last month in Jiangsu Province. In Europe, support comes at the national level and is oriented toward industry and storage, especially in the North Sea. For DAC, a range of companies — Alphabet, Shopify, Meta, Stripe, Microsoft and H&M Group — have paid into a fund with a promise to collectively buy at least USD 1 billion of ""permanent carbon removal"" between 2022 and 200. Last month, JP Morgan struck a $20 million, nine-year carbon removal deal with DAC pioneer Climeworks, based in Switzerland."
Why is Israel’s city of Eilat promoting sunscreens that nourish corals?,"Tourists use between 16,000 and 25,000 tonnes of sunscreen each year in tropical regions, potentially releasing between 4,000 and 6,000 tonnes of sunscreen into reef areas, according to the findings of a study published in the scientific journal Environmental Health Perspectives. While it’s impossible, and even totally inadvisable, to stop protecting ourselves from the harmful effects of ultraviolet rays, many brands are now working to offer sun protection products claiming a lower impact on the marine environment. This includes eliminating some UV filters, such as oxybenzone and octinoxate. In order to go even further, Eilat, a seaside town in southern Israel which is home to the Coral Beach underwater reserve, featuring around a hundred species of coral and several hundred species of fish, has solicited scientists to create products that could actually reverse — as far as possible — the mechanism that contributes to coral bleaching. Marine scientists and skincare experts have worked hand in hand to develop a new formulation based on a non-nano, titanium-dioxide-based, mineral sunscreen. The base formula is Ecocert compliant and has undergone extensive aquatic safety testing.  The added reef nourishing formula is a bespoke blend of FDA-compliant trace minerals used by coral farmers to feed and support healthy growth in coral. ""The development of a sunscreen that not only doesn’t harm coral, but has the potential to feed and nourish our reefs, is an important step towards protecting and preserving our oceans,"" said Giovanni Giallongo, Marine Biologist at the Ben Gurion University of the Negev in Eilat. From a technical point of view, there’s nothing revolutionary! Actually, the goal is to clarify claims related to the protection of the marine environment through the introduction of a new industry-wide standard dubbed RPF (for Reef Protection Factor) that would help consumers make informed choices. “An increasing number of products claim to be ’reef-friendly’ or ’reef-safe’, but there is a lack of regulation in this area which means that consumers are easily being misled. It’s hoped that the new RPF marque will become an industry standard and spread beyond Israel, worldwide, helping consumers make responsible choices,” the experts behind the initiative explain in a statement. “This is a way of identifying sunscreen that truly cares for coral,” added Giovanni Giallongo. Last year, a class action lawsuit was launched in the United States against Australian brand Bondi Sands over alleged false claims in relation to reef protection. Other actions have been launched on a similar basis against several other manufacturers."
"“We abuse plastic, it’s so cheap,” says UN Environment chief","What are the main obstacles to an ambitious treaty? Inger Andersen - Today, virgin raw polymer is cheaper than recycled polymer. So here’s the question: What will allow us move from that linear ’we take it, we make it, we waste it’ reality to a circular approach? Right now, it’s so inexpensive you can just throw plastic away. But the cost to the environment and human health is huge, and it is not taxed anywhere. I’m a big believer in product redesign. Today, we want many products to be in liquid form: our shampoo, our toothpaste or even our washing powder. But there are a lot of things that we can ’de-liquefy’ and transport solid in boxes."" Is recycling today a credible solution? Inger Andersen - We can’t recycle our way out of this mess. But recycling is one of the many keys that we will need to make this work. Today, we simply throw plastic away because it has no value. When I was a little girl growing up in Denmark with very limited pocket money, my brothers and I collected plastic bottles every Saturday because we could get two krone. It wasn’t much, but it made it worthwhile. Now imagine the day that this stuff has value — we would think about and treat that garbage very differently! What changes in attitude or mentality do you think we need to see? Inger Andersen - Awareness is step one. Which is not to say the burden falls entirely on consumers — at the end of the day, it’s business and governments that have to take that responsibility. But every consumer has a choice. Let’s say we have a party. Do we need single-use cups and plastic bags? If that bag I use to carry home five tomatoes is a heavy polymer, it will sit in a landfill for hundreds of years, maybe a thousand. Why are supermarket bananas in a plastic bag? Nature already delivered them with their own packaging. So there are choices we can make. Children get it, and are already holding their parents to account.  But the bigger system shifts will come from agreements such as the one we are negotiating. Plastic pollution has not been a priority on the international agenda until quite recently. What changed? Inger Andersen - The popular demand for solutions has become powerful, and it’s coming across the board from left to right in most countries. I put it down to activism across a broad spectrum, and I am very, very grateful. I ask all those activists to keep the heat on to ensure that the treaty had ambitious and binding elements. Many green groups are worried that the plastics industry will have an undue influence in the talks. Inger Andersen - For this second round of negotiations we have 2,800 participants — 908 from government and 1,712 from non-government organisations (NGOs). There are ten industry associations represented. They have a role to play. Take ozone, which is probably our most successful treaty. We couldn’t find a solution to the manufactured gases depleting the ozone layer without having industry at the table. Here’s what I say to business: this is coming to a movie theatre near you soon. You might as well lean into it and be part of the change, because we will get a treaty and it will be ambitious. Once we make the enabling legislation, business will follow. Can the world do without plastics at all? Inger Andersen - Plastic is everywhere. We’re still going to need light switches, steering wheels, metro seats, whatever. But we need to think about the single-use dimension. We are abusing plastic because it’s so cheap. But this has consequences in the environment, in the oceans, to our health. The interview has been edited for concision and clarity."
Fight against pollution: New plastic-eating fungi may help for recycling,"""A total of 184 fungal and 55 bacterial strains capable of breaking down,"" various plastics were found in the Jiangsu province of eastern China, the Royal Botanic Gardens in Kew said in a statement. Researchers from China and the UK in May 2021 sampled microorganisms from China’s Dafeng, a UNESCO-protected site near the coast of the Yellow Sea. Researchers said they found a distinct ""terrestrial plastisphere"", described as a ""man-made ecological niche"", which is an ecosystem that has evolved to live with the presence of coastal plastic debris. Because of their longevity and hydrophobic surface, plastics in aquatic ecosystems have the potential to create a sort of ‘microbial reef’ for fungi and bacteria to attach to. And certain plastics can provide microbes with a source of carbon to metabolize – a food source. At Dafeng, the researchers collected 50 samples of plastic waste from seven different types of petroleum-based polymers: polyethylene terephthalate (PET), expanded polystyrene (EPS), polyethylene (PE), polyurethane (PU), polyamide (PA), polypropylene (PP), and polyvinyl chloride (PVC). Among the samples, the researchers identified 14 genera of fungi, including the plant pathogens Fusarium and Neocosmospora. The study’s findings indicate these fungi may be better at degrading polycaprolactone (PCL) plastics and other synthetic polymers than saprotrophic fungi. ""Scientists are increasingly looking at microorganisms, such as fungi and bacteria, to help tackle some of the most pressing challenges of the modern age, including the rising tide of plastic pollution,"" Kew Gardens said. In the wild, fungi play a key role in breaking down organic matter. Over millions of years, their ability to break down many complex and naturally occurring polymers, such as cellulose, has made them able to produce enzymes that are extremely efficient at breaking down complex organic compounds. The new findings contribute to existing studies on plastic-degrading microorganisms with some 436 species of fungi and bacteria found capable of breaking down plastic to date. RGB Kew scientists believe their latest findings could lead to the development of efficient enzymes designed to biologically degrade plastic waste. French start-up Carbios has pioneered the enzymatic recycling of plastic, more specifically PET. Thanks to their demonstration unit in Clermont-Ferrand, they have demonstrated the technical feasibility of using enzymes in an energy-efficient recycling process, paving the way for the construction of a first commercial plant whose commissioning is scheduled for 2025. In 2021, Carbios and L’Oréal unveiled the first plastic bottles made using enzymatic recycling technology. Carbios recently accelerated its micro-organism screening process with a microfluidic technology developed in partnership with the Paul Pascal Research Centre (a joint research unit of the CNRS and the University of Bordeaux, France) in order to reduce the time required to develop and produce new enzymes capable of breaking down different types of plastic polymers. The discovery of new plastic-eating strains should contribute to feed this research!"
