title,text
Five key ingredient launches spotted at in-cosmetics Global in Paris,"With Sensory Apple Pomace, Codif Technologie Naturelle introduced its very first functional ingredient. This upcycled alternative to PMMA (small particle size, oil absorption capacity, good spreading surface) is fully biodegradable. It is a micronized sensory powder with mattifying, smoothing and covering properties sourced from apple pomace. It can be used for powder, fluid and compact products. To create its new moisturizing active ingredient, Mibelle Biochemistry was inspired by the concept of pine cone scales, which open and close depending on weather conditions! Derived from the recycling of pine cones that are hand-collected in selected French forests PinoPlex [1] penetrates the hair, retaining water and flattening the hair cuticle, leaving hair smoother, shinier and more resistant to breakage. It improves the hair fiber integrity and prevents split ends. PinoPlex is derived from pine cones that are hand-collected in exceptional and carefully selected French forests. The new eco-friendly active developed by Laboratoires Expanscience is based on the regenerative cultivation of lin. Obtained using a green process, it is designed to protect, regenerate, and strengthen the skin and hair against daily aggressions. With a protected and reinforced barrier, skin can ensure its regeneration. But that is not all: the way it is grown is also good for the soil and biodiversity. Gaïaline is made from lin grown according to the principles of certified and regenerative conservation agriculture. Obtained by molecular distillation, the liposoluble active is a linseed oil concentrate enriched with unsaponifiables. On the occasion of in-cosmetics global, Roquette Beauté has introduced its latest ingredient, Beauté by Roquette ST 730 [2], a water-resistant film former with a clinically proven lifting effect. Derived from pea starch, Beauté by Roquette ST 730 at 5% showed higher water resistance compared to industry benchmark film formers, such as pullulan and polyvinylpyrrolidone (PVP), at the same concentration. In an in vivo study on 40 volunteers to analyze its tightening power, Beauté by Roquette ST 730 at 4% significantly decreases fine lines and wrinkles. 82% of the study participants said that fine lines and wrinkles were diminished. For sensitive skin prone to atopy, Solabia debuts Serenibiome, a 100% natural, COSMOS-approved and twice patented active ingredient. The active design was bioinspired by an epiphytic fungus that protects its host by releasing a powerful glycolipid. Serenibiome bio-selectively inhibits Staphylococcus aureus colonization of the skin to tackle the itch-scratch vicious cycle."
Perfumery: Producers of natural ingredients join forces at the WPC show,"Premium Beauty News - What unites these companies that are offering a strongly diversified palette of fragrance ingredients? Virginie Gervason - For the very first time, seven major natural ingredients’ producers, coming from the four corners of the planet, will join forces to share their values and commitment. Evolving in different contexts, they are small or medium sized, responsible entrepreneurs, committed on the long term to their customers around the globe and all actors of their value chain, taking risks and investing every day to improve their practices every day and managing demanding third parties certifications. They know perfectly the communities they work directly with, they act for nature and biodiversity preservation in their regions, they invest in state of the art industrial facilities and produce the highest quality of natural ingredients that make the most sustainable perfumers’ creative palette. They share the same passion, same willingness to embark actors to preserve these resources, raise the same challenges regarding the future and elaborate multiple solutions to share. This unique “momentum”, imagined and organized by Resperfuma, in close collaboration with each of the producers and with the support and expertise of Dominique Roques, will bring together: Agroforex Company, a producer of benzoin and aquilaria from Laos; Enio Bonchev (damascena rose from Bulgaria); Jacarandas (ylang ylang and pink berry from Madagascar); Jasmine CE.Pvt.Ltd (vetiver and Indian flowers); Nelixia (guaiac wood from Paraguay, cardamom from Guatemala, etc.); SCA3P (lavenders and aromatic plants from France); Verger Naturals (cinnamon, black pepper and Sri Lankan spices). Premium Beauty News - Natural resources used in perfumery are highly diversified, some of them come from crops, others from wild plants, but all are very sensitive to climate change and environmental shifts. Are the consequences already visible? Do small producers have the means to adapt? Dominique Roques - Climate and environmental shifts obviously impact aromatic perfumery products. Climate change mainly impacts water resources, which are disrupted by changing rain patterns. Thus, significant, long and costly investments are required, the profitability of which can be questioned. For examples, Lavandin producers in France, rose producers in Bulgaria and, in India, small jasmine farmers must also entirely rethink water management on their farms in order to adapt to new rainfall regimes. As far as the environment is concerned, one of the major recurring problems is deforestation. It threatens several important perfume trees such as Styrax or Balsam Peru in Central America and especially guaiac wood in Paraguay. However, even in the Chaco forest, that has been heavily deforested to expand livestock areas, initiatives are beginning to emerge to demonstrate that the value of a perfume ingredient like guaiac can be instrumental to slow down the spiral of damages, in particular through sustainable management plans and by providing owners with a financially attractive alternative. Small producers are the key players behind these initiatives and the future of many of these products is in their hands, as long as they are supported by the industry."" Premium Beauty News - A panel discussion on the sustainability of the natural ingredient supply chain is also at the educational agenda of the WPC. Can you unveil its main outlines? Dominique Roques - I will moderate a debate with three panellists, Elisa Aragon (Nelixia), Filip Lissicharov (Enio Bonchev) and Raja Palaniswamy (Jasmine CE PVT) on the following question: ""Naturals: what does it take to source sustainably?"" Indeed, the sourcing of natural perfumery ingredients has been going through major changes for the past ten years. The growing awareness and expectations of a significant part of perfume consumers have driven our industry (F&F companies and brands) to question former producers’ practices and drive improvements at source. This has led to significant demands and move towards third party certifications. A few years down the road, our panel will discuss the situation of leading producers from America, Europe and Asia. What is their vision and experience of this new trends? Are certifications well suited to the social and environmental realities of their countries, and is the market ready to bear the extra cost resulting of such requirements? Read more in our special issue “Cosmetic Ingredients – April 2024” Full text available here."
Eurofragance adds a new captive to its palette of fragrance ingredients,"Developed within Eurofragance Innovation Center in Barcelona, this third captive ingredient (only for the use of in-house perfumers) is a synthetic molecule designed to for us convey a sensation of natural freshness in Fine Fragrance, Home Care and Personal Care compositions. Named after its ability to exude fresh, invigorating and energizing notes, Euphorion evokes a euphoric breath of fresh air. According to Eurofragance, Euphorion’s most remarkable attribute is a compelling green scent that confers a deep identity to fragrance formulas, even at minimal doses. Perfumers on the project team noticed that as well as imparting a feeling of natural freshness to compositions, Euphorion amplifies the freshness of other key ingredients and can: intensify the freshness of aromatic notes like rosemary and sage; accentuate the greenness of fruity notes like tropical fruit, blackcurrant and grapefruit; blend gracefully with woody and spicy notes like pepper and nutmeg. Furthermore, Euphorion brings out a greener tone in fougère notes and adds aromatic intensity to leathery notes. Beyond freshness, certain perfumers noted another olfactive attribute, more reminiscent of salty foods and umami, that blends perfectly with spicy, fruity, toasted hazelnut, green and lemony notes and conjures the aroma of oil-rich seeds and cured ham. The profile has sparked the interest of creative perfumers, who see an original alternative to sweet gourmand notes. “In Western societies, the idea of freshness is expressed through a wide range of olfactive associations, including the outdoors, natural landscapes, citruses and other fruits, roots, spices and aromatic plants, all of which provide inspiration for perfume designers. The occasional difficulty of sourcing and replicating such natural ingredients have prompted many perfume houses in recent decades to develop synthetic raw materials that evoke similar feelings of freshness,” said Eurofragance in a statement. According to Eurofragance, in addition to its olfactive features, Euphorion offers several advantages in terms of sustainability: it is produced using little energy; it generates little waste; and it offers maximum impact at minimal doses. The new captive will be presented at the in-cosmetics Global trade fair held in Paris on April 16–18, 2024."
Cosmetic ingredients in the cyber beauty era,"As far as technology is concerned, the integration of Artificial Intelligence (AI) into the product development process is certainly today’s most important challenge for cosmetics and perfume professionals. From analysing ingredients to customising formulas, AI is becoming an unavoidable tool for major brands and the boldest start-ups alike, shaping a landscape where human creativity combines with the power of algorithms. On the eve of the opening of the event, Premium Beauty News offers you a dive into the world of Cyber Beauty… CONTENTS Cyber Beauty
– How Artificial Intelligence is gaining ground in cosmetics laboratories
– “AI can perform complex tasks very quickly,” Laurie Verzeaux, Silab
– “We are developing our own AI system,” Jean Yves Berthon, Greentech
– Good Face Project, a time-saving AI-based solution for cosmetic innovation
– Research: how to recreate a complex perfume with Artificial Intelligence Trends
– Interstellar Lab: sustainable sourcing inspired by the conquest of space
– Perfumery: Producers of natural ingredients join forces at the WPC show
– Expanscience introduces Gaïaline, a skin... and soil regenerator! Ingredients News Read online or download the pdf version here."
"Parfex, Croda’s spearhead in perfumery, accelerates investments","Founded in Grasse, the historic cradle of French perfumery, Parfex takes advantage of this privileged location to offer its customers a complete range of tailor-made compositions based on a large offering of perfumery ingredients, including a highly diversified palette of natural substances. The company’s production site is 90% automated, thanks to three weighing robots that can process both small and large batches. To better serve its customers around the world, Parfex also benefits from synergies with the international networks of Croda, its mother company since 2021, and Iberchem, the other composition house in the group’s Fragrances & Flavors division. Parfex achieved a turnover of 32.6 million euros in 2023 and employs 110 staffs, including 6 perfumers. “One of our strengths is to combine the responsiveness and agility of a medium-sized company with the presence global presence and the synergies of a large international group. We especially boast our very rapid response time to customer briefs, and an ordering and delivery process within reduced deadlines,” Juana Birkenkamp, communications manager of the company told Premium Beauty News. Thanks to a team of sensory analysts and marketing specialists, the company regularly introduces new collections inspired from proactive surveys of lifestyles and consumer preferences. At the next in-cosmetics Global, from April 16 to 18 in Paris, Parfex will highlight a collection of perfumes dedicated to personal care. Dubbed “e-motions”, the range features eight different formulations, incorporating Croda active ingredients and based on Iberchem’s Wavemotion® technology, an innovative scientific approach which makes it possible to identify and evaluate the emotional benefits linked to scents. “The e-motions collection will offer a unique sensory experience, combining high-quality fragrances with personalized care formulations,” highlighted the manager. Investment in new infrastructure, Parfex plans to triple the surface area of its creation centre, which will increase from 1050 to 2700 square metres. “The new centre for personal care excellence will also be a hub open to our colleagues at Croda Beauty, and will allow us to welcome our customers for presentations on trends and innovations,” continued Juana Birkenkamp. Scheduled for September 2024, the opening of the new R&D centre will free up space to increase the surface area of the company’s manufacturing unit. Indeed, long-term investments are planned to expand production capacities. The surface area of the unit is scheduled to increase from 1,180 m2 today to nearly 5,000 m2 in 2027, with the aim to provide an effective response to market growth. Through its affiliation with the Croda Group, Parfex benefits from a strengthened global presence, with an office in Dubai and access to Iberchem’s production centres across the globe. In April, the company also set up a permanent commercial presence in the Paris region. Certified ISO 9001, 14001 and 45001, Parfex is continuing its projects to reduce its environmental footprint, in particular through the installation of photovoltaic panels that will allow the new innovation centre to reach an energy autonomy rate of 80%. The company also supports the Fleurs d’Exception du Pays de Grasse association and has established sourcing partnerships with local farmers in France. By accelerating its investments and its commitment to innovation and the environment, Parfex intends to embody excellence in the art of perfume composition. “We are resolutely committed to a future-oriented perfumery while remaining faithful to the traditions that have made us famous,” concluded Juana Birkenkamp."
"Focusing on upcycling coffee grounds, Cabeco launches two cosmetic ingredients","Cabeco (standing for “Cascading of Benefits of Coffee”) was born from the inquisitiveness of a coffee producer and a scientist and their concern about the “economic, ecological, and human waste” of coffee farming and its industrial processing. Thus, the company focused its researches on coffee grounds derived from the production of freeze-dried coffee. Alone, European producers of instant coffee alone 2 million tons of industrial coffee grounds, which are currently burnt or methanized. A characterization study of the components of coffee grounds recovered from the instant coffee production process unveiled a series of interesting molecules, from caffeine to less expected substances, such as a series of oligomer, oligoglucan and oligopeptide managers of skin health and the microbiome. In order to create high value active ingredients from this resource, which used to be seen as waste, Cabeco has developed and patented a sustainable extraction process. “This green process uses no solvents, emits no CO2, and creates no waste,” highlights the company. This process allows for the upcycling of 100% of the coffee grounds that Cabeco transforms into two 100% natural cosmetic raw materials: Cofoil, a semi-liquid lipid, highly regenerative/reparative active ingredient with several benefits for cutaneous tissues; and Cofex, an ultra-soft exfoliant powder. Cofoil is a new 100% upcycled lipid. This semi-liquid active ingredient, golden yellow to dark orange in colour, offers a slightly perceptible hint of coffee aroma that can be masked easily, if required. Tested on distressed skin explants, Cofoil demonstrated its capacity to enhance the healing process and unveiled key cell behaviour during the restoration of youth. According to Cabeco, Cofoil acts on the main factors of skin youth (support fibres, immune-protectors, defensins, aquaporins, oligomers and precursors) to boost skin regeneration and reparation. It increases layering of the stratum corneum and densifies the epidermal neocollagen. When at ambient temperature, Cofoil does not become rancid over prolonged storage and no preservatives are needed. Antibacterial activity has been proven versus a wide range of germs including multi-resistant Staph. Usage rate is typically 2 à 5%. The Cofex range of exfoliants is produced simultaneously with Cofoil. Cofex designates a natural insoluble coffee powder, that is soft and supple in feel and completely devoid of unpleasant abrasiveness. The structure is that of thin leaflets of supple woven fibres, which gently roll over the skin and are non-abrasive. Ice brown chocolate in colour, leaving no stain, it is virtually odourless, with a barely perceptible hint of coffee. Several ranges are available: – Cofex Extra offers particul sizes from150-300µm. It is a gentle, active and stimulating exfoliant;
– Cofex Ultra Active Powder is a refined version (less than 50 µm);
– Cofex, for all other fine grades available on request. Cofex powders can be used in all formulae, water and oil based, emulsions and dry preparations. They are never ionized. Cabeco recommends using Cofex Extra at a concentration of 5 to 15%, as an exfoliant, and 1 to 5% for soaps. With these two new cosmetic actives, Cabeco aims to be part of a transformative process for the coffee sector. Indeed, coffee is the most consumed beverage on earth after water. Two third of humanity drink coffee every day, a total of 2.5 billion cups a day! However, smallholder growers (100 million families- Brazil, Vietnam, Mexico, Ethiopia, Columbia…) are hardly benefiting from global coffee trade. Undergoing financial pressure, extreme weather and climate conditions, and reduced yields of a demanding crop, many growers have begun to uproot plants in favour of other cash crops. Actually, for many of them, coffee growing is no longer viable nor profitable. This is why Cabeco has chosen to join a Regenerative Agriculture program and to create new revenue streams throughout the coffee sector by returning part of its profits where most needed, as part of an approach framed and validated by Gold Rainforest Alliance membership."
"in-cosmetics Global returns to Paris from 16-18 April, 2024","The event, which gathered 909 exhibitors and welcomed 10,799 unique visitors from across 118 countries, last year in Barcelona, is returning to Paris with the aim to break new records. The line-up of the 2024 edition will once again feature leading personal care ingredient suppliers, including Ashland, BASF, Clariant, Evonik, Lubrizol and Symrise. An array of country-specific pavilions will also be at the event, with a host of suppliers from France, UK, Spain, Brazil, South Africa, Indonesia, Peru, and China. From the highly popular Marketing Trends presentations and sessions (with speeches from Euromonitor International, Kline & Co, Beautystreams, Ecovia Intelligence and Reach24h…) and the newly expanded Sustainability Zone (featuring over 190 products – all of which are new or have been launched within the past six months), to Technical Seminars and interactive Formulation Lab, the 2024 edition is expected to provide even more opportunities to explore the latest industry trends and opportunities in product development. “With France’s flair and influence on the global industry, the 2024 edition will be a pivotal moment for the beauty community to take note of the cutting-edge trends and foster direct connections with the very experts shaping the future of personal care ingredients,"" said Roziani Zulkifli, Event Director, in-cosmetics Global. Ahead of the event, the shortlist for the 2024 in-cosmetics Global Awards has been revealed. Winners will be announced at the official ceremony from 18:00 on 16 April 2024. Over 50 shortlisted entries have been selected by an international judging panel, made up of 28 experts from the likes of Kenvue, Ecovia Intelligence, Unilever, Coty, Haleon and more. INNOVATION ZONE BEST INGREDIENT AWARD Shortlisted in the Active Ingredient category are: Clariant: CycloRetin
Codif TN: Regetaste
dsm-firmenich: Eterwell™ Youth
Givaudan Active Beauty: Illuminyl™ 388
Givaudan Active Beauty: Neuroglow™
Hallstar Beauty: Bliss Oléoactif®
LipoTrue: Calisensix™
Mibelle Biochemistry: RejuveNAD™
Rahn AG: Illumiscin®-Glow
Sederma: Ameyezing 4.0
Solabia Group: Rhamnosoft HP HH
Solabia Group: Serenibiome®
Vytrus Biotech: Baolift™ – Your Skin Workout
Corneopeptyl™: Lucas Meyer Cosmetics
Shiloxome™: Provital
SP[AI]3™: LipoTrue Shortlisted in the Functional Ingredient category are: Actigum Care: Cargill
Carbopol® Fusion S-20 polymer: Lubrizol Life Science
Dynasan® CrystalControl L: IOI Oleo GmbH
EcohanceE® Remo XP: Evonik
Galseer® DermaGreen: Galaxy Surfactants Ltd.
Geropon® TC Clear MB : Syensqo
Idrawax® Revo: Brasca Industrial S.r.l.
MicBeads – Bio-based Functional Micropowder: BIOWEG
Silk-iCare™: Givaudan Active Beauty
Surfinesse™Cleanse: Hallstar Beauty GREEN INGREDIENT AWARD Shortlisted in this category are: Ashland: perfectyl™ biofunctional
Active Concepts: AC AmaraSense
Boreal Bioproducts: SpruceSugar™
Clariant: Beraca CBA
Croda Europe Ltd: ChromaPur CV2
Givaudan Active Beauty: PrimalHyal™ 50 Life
Hallstar Beauty: BLISS Oléoactif®
Lignovations: LignoGuard Aqua 20
Origin by Ocean: Azulo
Socri – Greengredients: GreenTAC
The Upcycled Beauty Company: Barley Toniq® KENVUE TRUSTED SCIENCE AWARD Shortlisted in this category are: Active Concepts: AC ExoTone
Ashland Inc.: Antaron™ Soja Glyceride
BASF: Hydrasensyl Glucan Green
Cargill: FiberDesign™ Citrus
Clariant: Rootness Mood+
dsm-firmenich: Vitamini B12
Evonik Industries:
Vecollage Fortify L
Sophance® LA-A
Tego® Filmstar One MB
Lucas Meyer Cosmetics: Immunight
Oleon: Jolee 7202
Silab: Senevisium
Surfatech Corporation: CosmoSurf® DDG-28 RISING STAR AWARD Shortlisted in this category are: Brace GmbH
Boreal Bioproducts
Intact
Kaffe Bueno
Netri
NoPalm Ingredients
Origin by Ocean
Roka Furadada S.L.
Skinosive
Zylo Therapeutics"
Silab combines hygiene and skin care in deodorants with a meadowsweet extract,"For their new development, Silab sought to combine the effectiveness expected by consumers of deodorants against malodors, with the growing quest for products of natural origin that are respectful of the skin. In order to better address the mechanism leading to the generation of odors, Silab developed an original modeling study that demonstrated quantitative (increased abundance) and qualitative modifications (increased enzymatic activity) of Staphylococcus hominis strains sampled from the axillary microbiota of malodorous volunteers subjected to physical activity, compared to a non-odorous panel. In response to this problem, Silab has shown that their new ingredient limits the excessive abundance of S. hominis in the axillary cutaneous microbiota and targets the enzymatic activity of this bacterial species. Deolya thus targets the source of perspiration odors while leaving the microbial diversity of this skin zone unaffected. The effectiveness of Deolya against odors was tested on a Caucasian panel of both sexes participating in a physical activity. The study showed a reduction of perspiration odors by 58% as of the first application of the product containing the active ingredient. This deodorant efficacy, assessed by an olfactory evaluation from a qualified expert panel, is confirmed at the molecular level by a significant 76.3% reduction of the malodorous 3M3SH thiol. According to Silab, these effects are also observed after seven days of daily use and without having applied the deodorant Deolya in the morning before the physical activity session, underlining the immediate and long-term effect of the deodorant. In addition, according to Silab, Deolya reduces inflammation, thus significantly decreasing the frequency of unpleasant underarm sensations appearance, daily but also after shaving or epilation (after 28 days of use). In particular, the active ingredient strengthens the barrier function, resulting in vivo in an improvement of Transepidermal water loss (TEWL) of underarm skin. Thanks to this multifunctional benefits, Deolya is a natural deodorant solution providing comfort and soothing to the axillary zone. For this development, Silab research beneficially used the tellimagrandin-type ellagitannins and proanthocyanidols found in meadowsweet, giving Deolya its unique polyphenolic profile. Obtained from French suppliers certified for organic agriculture and traced back to the harvest site, this raw material complies with Silab’s criteria for traceability and sustainability. Deolya is a patented active ingredient recommended in all deodorant care products at a dose of 0.1 to 1.0%. Available in aqueous solution, it complies with biodiversity regulations and has a natural origin content of 99.2% (ISO 16128). It complies with international cosmetics regulations (Europe, USA, China, Japan, etc.)."
"Givaudan debuts Nympheal, a fragrance ingredient with a white floral profile","Givaudan’s latest fragrance ingredient builds on the company’s expertise in muguet aldehydes. According to Givaudan, Nympheal combines the best olfactive and technical qualities of other molecules in this category. It provides a fresh and opulent muguet fragrance with a hint of linden blossom, adding volume, floral creaminess, and excellent diffusion to fragrance compositions. “Nympheal is an outstanding fresh and opulent muguet ingredient, with a linden blossom accent bringing tremendous volume and creaminess,” said Dominique Lelièvre, Ingredients Research Perfumer at Givaudan. The new molecule [1] is a colourless liquid that can be used by perfumers in water applications. Its versatility will enable to bring a robust white floral note in various cross-category applications including shampoos and antiperspirants. Givaudan also identified an interesting synergy of Nympheal and patchouli oil that creates a particular effect, since they do not overlay, but interact to bring a unique signature. In alignment with the Givaudan’s sustainability goals, Nympheal is a biodegradable molecule that follows the guidelines set by the OECD. It was developed according to the principles of green chemistry, and in line with the company’s Safe by Design approach with the aim to match the sustainability expectations of consumers’ today. “It is a delight to share this molecule with customers, as it opens up new possibilities for creating memorable and long- lasting fragrances. Nympheal is the result of collaboration between Givaudan’s researchers, perfumers, and regulatory experts, showcasing their dedication and expertise in developing ingredients that make a difference to fragrance compounds,” said Paul-Erwan Camenen, Head of Fragrance Ingredients Business at Givaudan."
"“Perfume innovation comes from new ingredients”, Isaac Sinclair, Symrise","Premium Beauty News - You worked for 12 years in Brazil, as part of the Symrise team of perfumers-creators in São Paulo. What do you think are the specificities of perfume in this country? Isaac Sinclair - Brazil is the largest global market in terms of volume and is very well ranked in value, although the latter fluctuates according to exchange rates. Brazilians are clearly big fans of fragrances. Compared to other countries, studies show that they spend a very large proportion of their income on perfumes. Brazilians buy several perfumes and decide which one to wear depending on their mood or on the circumstances. In Brazil, people perfume themselves a lot, several times a day, because due to the climate, they generally shower between three and five times a day. This provides an opportunity to change fragrances, for example, in anticipation of a romantic moment. In Brazil alone, 4,000 stores have opened under the name of O Boticário, and one of their blockbusters can sell millions of units. It is quite exciting for a perfumer to recognize “their” perfume on their way to a restaurant! In Brazil, the perfumes that sell well share one feature: their “lasting power”. It determines the quality/price ratio in the eyes of consumers. In concrete terms, whether you are creating a fresh or oriental fragrance, it has to be a “bomb” and last on the skin, otherwise consumers feel cheated. Perfumers need to master this skill, and we sometimes use patchouli for this purpose. Therefore, we are not confined to a few appealing styles or specific olfactory families to meet this demand. Another peculiarity of this vast market is that women ignore marketing categories and can choose so-called men’s fragrances simply because they like them. And this was well before the gender-fluid trend. Many women wear very fresh, but also long-lasting “fougere” fragrances, such as Kaiak Aero by Natura. Premium Beauty News - Which of the locally-produced raw materials did you particularly enjoy working with? Isaac Sinclair - Brazil boasts one of the richest biodiversities in the world. Many ingredients originate from this continent, even if we are not aware of it. For example, the classic tonka bean and rosewood come from the Amazon rainforest, as do cocoa and cashew nut. This country’s riches are endless. Symrise has been developing a special programme to help communities grow aromatic plants which no longer renewed themselves, such as priprioca. Its tubers produce an amazing scent reminiscent of cypriol and vetiver. There is also palo santo: its wood is not cut, but the fruit is harvested to obtain essential oil. At first, it evokes blackcurrant, before returning to the wood smell itself. It is a very stimulating environment for perfumers. In addition to perfume plants, Head Space can be used to capture new scent profiles from fruit. Cashew is generally known as a nut, but it is actually part of a whole, sublime fruit that can be used for perfumes. Its flesh reminds of a slightly acid tropical guava. Usually, we just use the cashew nut, but in Brazil, perfumers also use the fruit. In fact, it is featured in a delicious recipe of the national cocktail, the cashew fruit caipirinha. Thanks to the Head Space technology, we were able to recreate the smell of this delicate fruit in a laboratory. Therefore, Symrise has a Vitessence associated with it. There is also cupuaçu, a white-fleshed fruit whose taste is similar to cocoa, and which can be used as an alternative to chocolate in milkshakes. Brazil’s biodiversity is fabulous. Plants like patchouli, vetiver, and oranges managed to adapt to the climate, although oranges remain green in the absence of cool nights, as can be seen in Spain. Premium Beauty News – Is this botanical diversity inspiring for a perfumer-creator? Have any of your creative ideas stemmed from one of these ingredients? Isaac Sinclair - Being exposed to new smells in Brazil opened my mind. Anything new stimulates the creative process. Without Brazil, I would not have got that far with certain fruit smells. When you go to Brazil, you realize there is a whole world of different tropical fruits, because at the end of the day, guava does not smell like cocoa, which does not smell like cashew apples... There are real nuances that we are not aware of in Europe or New Zealand. Over there, a whole universe opens up. Personally, in my perfume creation process, I did not really start with an ingredient specific to Brazil, but I was able to use these materials for structures I had in mind. In my case, I would rather say I added Brazilian ingredients to my palette. Generally speaking, there are not many perfumes built around one ingredient. For example, even if a perfume is created around vetiver, it has to be dressed up with citrus fruits or other ingredients. Premium Beauty News – How do you feel about Garden Labs, the 100% natural vegetable extracts offered by Symrise since late 2020? Isaac Sinclair – It is exciting because, just like with Brazilian ingredients, we did not use to have access to all this potential. Ten years ago, we did not have the technology to capture these plant extracts. Before Garden Labs, if you wanted to create an artichoke, you had to create a chord which gave the impression of an artichoke. But we did not have a real artichoke or cauliflower. With theGarden Lab technology, the playing field has become bigger. In my opinion, a large part of perfume innovation comes from new ingredients. For example, when Calone arrived, this molecule opened up a new path. Fragrances like L’Eau d’Issey (Issey Miyake) and Escape (Calvin Klein) were only possible because of it. Now we are seeing the same phenomenon with natural ingredients. At first, new ingredients are used very little. Then, over time, they gain more importance. In the future, we might see more “savoury” or even “salty” scents. The Garden Lab range extends beyond vegetables. Symrise already has passion fruit. We did not have natural passion fruit before, so we had to use a combination of molecules. It is a great step forward, especially as it involves upcycling. Thanks to this technology, it is possible to recycle artichoke waste from the food industry to extract its smell. Or onion or cauliflower waste. In the case of passion fruit, we work with juice residues. We could consider developing a tomato Garden Lab by stepping in the juice or gazpacho production cycles... Unlike with the Head Space technology, these are entirely natural products. Premium Beauty News – You recently joined the Symrise team in Paris. Could your experience and the use of ingredients from Brazil be transposed here and appeal to the French and global markets? Isaac Sinclair - Why not? Innovation is always welcome. Everyone wants innovation. So, I think any of the ingredients that grow in Brazil could be very well accepted. We know that blackcurrant or passion fruit can play a decisive role in an olfactory structure. So, why not cashew apples, if certain techniques are used? I am also thinking about cupuaçu, with its chocolate flavour. The diversity of Brazilian fruits is not limited to coconut. Generally speaking, I think that when you create successful perfumes, whether for Europe or Brazil, you have to show your skills and know how to combine the creative and technical aspects. If you are satisfied with the technical aspect and do not take into account the creative factor, you are really just a technician. You do not do anything new. But in our industry, new products also have to pass the tests of potential consumers. I think lots of proposals created in Brazil would also work here in terms of structure, if we refer to the tests that have been carried out. Premium Beauty News – In your opinion, how will perfume creation evolve and innovate over the next few years? Isaac Sinclair –  The world is constantly changing and consumers change too. They are much more educated about perfumes than they were 20 years ago. They are increasingly aware of what they are buying. In the perfume industry, we are now seeing greater transparency, as a result of new technologies capable of revealing the ingredients found in a formula, when they used to remain secret. I am thinking of GCMS (Gas Chromatography / Mass Spectrometry), for example. Niche brands help raise the cultural level of perfume consumers, who show increasingly sophisticated needs. It is a real challenge for perfumers. This article was published in our special issue Fragrance Innovation, to read here."
