title,text
How did L’Occitane revive fragrances from forgotten flowers?,"It is not uncommon for innovation to find its roots in the past! Regarding the Forgotten Flowers collection by L’Occitane en Provence, the whole adventure began with a dive into the archives – notably those of the Villa Saint-Hilaire and the International Perfume Museum, in Grasse, the cradle of French perfumery – to find the flowers formerly used in old perfume recipes. This titanic work led to the creation of a database gathering more than 800 perfume plants, some of which had been completely forgotten. From these 800 plants, three were selected to form the new collection: melilot [1], woodland hawthorn (known as noble épine, in French) [2], and common tansy (known as barbotine, in French) [3]. It all started in 2015, when the brand committed to supporting a thesis on “Forgotten perfume plants” by researcher Anne-Sophie Bouville. ""The project was to liberate knowledge about these flowers, forgotten in perfumery, but sometimes known in other fields. There was also a philanthropic dimension of opening up and sharing knowledge with the general public,” said Anne-Sophie Bouville, PhD student at the Institut de Chimie de Nice (Université Côte d’Azur, CNRS), then Active Fragrance Project Manager, L’Occitane. Indeed, certain plants, such as rose, jasmine and iris, have been used in perfumery since Antiquity and throughout the ages. Others were used at certain periods and are no longer used today. Sometimes, this disinterest is easily explained by substitution by a synthetic ingredient or by regulatory constraints. But in other cases, the reason may remain unknown. To identify these forgotten perfume plants and develop innovative cosmetic raw materials, several hundred books were studied, some dating back to antiquity, and numerous experts (anthropologists, archaeologists, botanists, historians, linguists, perfumers, theologians, etc.) were interviewed. Information was gathered on the identity, history, symbolism, uses, smell, medicinal properties and hypotheses on why plants were forgotten. Beyond their properties and olfactory potential, the eight hundred perfume plants and more that form a unique database were subjected to strict specifications and studied in the light of L’Occitane’s industrial and agricultural criteria to assess their interest in perfumery and cosmetics. This impressive research work resulted in a patent and three scientific publications, and in the launch in fall 2023 of a collection of cosmetic perfumes packed with purpose and steeped in history. ""It’s very rare in research to see the concrete outcome of one’s work. The strength of this collaboration between the world of research and L’Occitane is that it makes academic knowledge tangible and comprehensible to the general public,” highlighted Xavier Fernandez, University Professor in Chemistry and Vice-President Innovation, the Université Côte d’Azur in Nice, France. For the creation of these unique perfumes, L’Occitane worked with renowned perfumers who were asked to highlight the history and personality of each of the three selected flowers. For the Melilot line, Julie Massé and Véronique Nyberg, perfumers at Mane, turned away from the absolute of the flower to prefer the infusion technique. The use of this flower, neglected by modern perfumery in favour of coumarin, a more accessible synthetic molecule, was “really fascinating”, according to Julie Massé. For Noble Épine, the choice of fresh flower absolute appeared as the most logical and Shyamala Maisondieu, Givaudan perfumer, translated it in a tender and delicate fragrance. Finally, for Barbotine, the essential oil of the plant was transformed into perfume by Fabrice Pellegrin and Ilias Ermenidis, from Firmenich. The perfume’s olfactory notes present a floral sophistication alongside revealing a fresh aromatic scent. “Bringing forgotten flowers back to the heart of olfactory creation was a unique adventure, a challenge,” concluded Fabrice Pellegrin."
"Aloha, an innovative micro-encapsulation system to perfume any materials","The 15-1 Diffusion company wanted to develop “smart” materials as part of its eyewear business. A few years ago, it approached French and international research laboratories and embarked on an R&D programme opening up new functionalities for its products. After three years of development, a few months ago, it launched its first anti-lice, anti-mosquito, or simply scented glasses, thanks to an innovative and inspiring new technology called Aloha Matériaux Augmentés. “We asked ourselves whether we could use chemistry to give eyewear another function. We created anti-lice glasses by incorporating microcapsules into the frame material to diffuse actives, in this case lavender effluents, around children’s heads, and create an effective barrier. The same principle applies to perfumes: we can now integrate either juices or compositions into the microcapsules, and then diffuse them”, explains Didier Janot, co-founder of 15-1 Diffusion. On the surface, the technology can be applied to all materials: leather, plastic, paper, metal, glass, etc. In the mass, Aloha works with injectable materials, preferably biobased polymers. “Our starting point is ecoresponsibility. We aim to work with biosourced materials and natural actives. The name Aloha, which means ‘hello’ in Polynesian, also refers to the philosophy that links Man to the Earth”, says the director. These microcapsules are oxygen-tight, which means they preserve the integrity of the actives used (juices, essential oils, etc.). The effluents are diffused thanks to the low porosity of the walls. The technology also makes it possible to decide on the mode of diffusion, which can either be continuous, involve friction, or depend on a defined temperature at which the diffuser starts to work. “We can decide on permanent diffusion, with acceleration by touch or temperature”, adds Didier Janot. He describes other experiments based on this concept applied in different industries, such as wines and spirits, where the aromas of a rum or whisky are captured in the cork or label. “We can reproduce this approach in all industries, play on the power of olfactory marketing, and trigger the desire to consume”, he says. In perfumery, the technology can be used to integrate fragrances into the bottle caps, the labels, or the packaging, which simply needs to be rubbed to release the scent, or to integrate customized aromas into materials, leather, or textiles, or on jewellery, ephemeral tattoos, or lipsticks. According to Didier Janot, while this approach is not intended to replace traditional perfume, it does allow users to enjoy a sensory experience through a highly precise olfactory performance when it comes to note reproduction. “Many major brands, particularly in the luxury sector, have been considering applications suited to their own needs or issues. All projects need time to be validated. It is more complicated than applying a brush. There is a whole process involved in finding the right molecule, looking at its ability to be microencapsulated, studying the way it reacts on the material, etc. All these elements together give an idea of the effectiveness of the outcome and the duration of the experiment. It can last from several months to several years, depending on the concentration”, he explains. For the time being, the company aims to focus its applications on the product environment and packaging, rather than on formulation. “Formulation is not our business, but anything is possible”, concludes the director."
Kao’s Curél to launch second skin set to combat severe skin dryness,"Curèl, a Japanese line of facial moisturizers and cleansers designed specifically for dry and sensitive skin, is launching a pair of products that work in tandem to combat severe skin dryness. Available in Japan from April 4, 2024, the new set comprises the Curél Outfit-for-Skin Potion [1], a lotion that diffuses onto the skin as an ultra-thin veil, and the Veil Creator [2], a special diffuser used to apply the ultra-thin veil and create an artificial second skin. As the veil wraps the skin, it releases moisturizing ingredients that seep deep into the stratum corneum to keep the skin hydrated and relieve concerns about severe skin dryness. The ultra-thin membrane technology applied in the new potion and diffuser is based on Kao’s “Fine Fiber Technology,” a technique that allows to diffuse ultra-fine fibers directly onto the skin as a laminated, ultra-thin veil. Kao Corporation first launched skincare applications based on the Fine Fiber Technology back in 2019, but Curél is now using it to introduce a new skincare method for intensive moisture care. Actually, the earlier renditions of the technology required a two-step care regime starting with the application of a dedicated nourishing essence before diffusing the veil. To simplify the application Kao scientists developed a hydrating beauty essence as the vital ingredient forming the veil. Curél Outfit-for-Skin Potion is the first product to apply this new solution dubbed “bleed-out technology,” a process for filling the spaces between the ultra-fine fibers of the veil with moisturizing ingredients to nourish the skin. The ultra-thin veil stays in place snugly like a second skin as the moisturizing ingredients seep deeply into the stratum corneum. “When applied at the end of the nightly skincare routine, the veil keeps the skin hydrated for hours during sleep, resulting in firm, supple, and smooth skin by morning,” Kao claims. Kao has collaborated with Panasonic Corporation to develop an advanced version of the Veil Creator diffuser. Once loaded with the Curél Outfit-for-Skin Potion in a dedicated cartridge, the new Veil Creator Diffuser can apply an ultra-thin veil on a targeted area in a matter of seconds. The device is compact and freestanding, for easy handling. The pair of products will be available for purchase from the official Kao online store (My Kao Mall). A subscription service will also be launched on Rentio to help customers easily start and maintain the new care regimen. Two subscription tiers are planned: a basic kit that includes Curél Outfit-for-Skin Potion and Curél Veil Creator, and a premium kit with an add-on Curél product delivered every month."
Tsuno Group creates a new generation sunscreen based on ferulic acid,"Well known for its anti-oxidant, anti-inflammatory and antimicrobial properties, as well as an inhibitor of melanin production by blocking tyrosinase activity, ferulic acid is already used in wide array of cosmetic applications. More recently, several studies have explored the possibility of using it in the fight against photo-induced aging, in particular as a plant-based UV absorber. A study published in 2018 demonstrated its ability to boost the sun protection factor (SPF) of several anti-UV formulations [1]. Toutefois, selon Tsuno Group, a pioneer in large-scale production of ferulic acid, the stability and solubility of this substance have proven to be complex at high concentrations. To overcome these hurdles, Tsuno Group has partnered with cosmetic ingredients producer Matsumoto Trading to pioneer an innovative technology utilizing a high concentration of ferulic acid in a solid stick formulation. According to the two companies, the new technology has made it possible to develop a sunscreen with SPF 50+ and PA++ (tested in vitro), using ferulic acid extracted from rice bran by Tsuno Group as the sole UV filter. “This unique formulation eliminates the need for other commonly used UV protective ingredients, while maintaining high sun protection effectiveness. Patent pending,” said Tsuno Group in a statement. A patent application has been filed for this new formulation solution which could make it possible to use ferulic acid as a natural alternative to various UV filters. According to Tsuno Group, ferulic acid can absorb UV rays in a similar range of the spectrum as octyl methoxycinnamate (OMC). This characteristic makes it a potential eco-friendly alternative to various filters of petrochemical origin, including ethylhexyl methoxycinnamate (EHMC). Indeed, recent studies have shown the negative impact of EHMC (also known as octyl methoxycinnamate or octinoxate) on the aquatic environment, and its role in coral bleaching [2]. Amidst growing global concerns about environmental sustainability, ferulic acid has the potential to gain increased recognition as a natural and effective sunscreen ingredient. It holds significant potential for application in a wide range of cosmetic products. “We, as a leading company in rice & bran chemistry in the world, have been developing a number of functional products with tremendous efforts through accumulating technologies, have also researched their safe levels and effects to be well accepted in pharma, food, feed and cosmetic industries. Now we have launched a technology of using ferulic acid from rice bran as a natural antioxidant and UV absorber, which is the first innovation ever in the world. We are confident that you shall discover this product as unique and impactful to contribute not only to the human health and beauty but the circular economy for the world,” said Fumi Tsuno, President of Tsuno Group Co., Ltd. Established in 1947, Tsuno Rice Fine Chemicals manufactures various ingredients from by-products generated in the process of refining rice bran oil, which can be used for pharmaceutical, cosmetic, functional foods, food additives, feedstock, and industrial chemicals. In addition, they are also engaged in the manufacture of cosmetics under their own brand that incorporate these ingredients. ** ""Toxicological effects of two organic ultraviolet filters and a related commercial sunscreen product in adult corals"", Tangtian He, Mirabelle Mei Po Tsui, Chih Jui Tan, Chui Ying Ma, Sam King Fung Yiu, Li Hsueh Wan, Te Hao Chen, Tung Yung Fan, Paul Kwan Sing Lam, Margaret Burkhardt Murphy, in Environmental Pollution Volume 245, February 2019, Pages 462-471 (doi.org/10.1016/j.envpol.2018.11.029)"
"Microcaps, Luzi, and Kajal partner to launch innovative ethanol-free perfume","Lamar Caviar Perfume d’Eau by Kajal Perfumes Paris is the result of a collaboration between Microcaps, a Zurich-based start-up offering the patented microfluidic perfume pearls technology, Swiss fine fragrance house Luzi and niche fragrance brand Kajal Perfume Paris. Thanks to a unique formulation, the new ethanol-free perfume encapsulates its fragrance oil into Microcaps’ patented Perfume Pearls technology. The scent mist of perfume is released only upon application, when the alginate pearls break, preserving the scent until it is dispensed. As the first-ever fine fragrance leveraging Microcaps’ Perfume Pearls technology, this scent introduces four new features that might open the way to a new fragrance experience for consumers: – A luxurious appearance paired with a unique application, thanks to the natural alginate pearls preserving the precious fragrance oil. Upon spraying, the pearls break, releasing the fragrance.
– A non-sticky, non-milky application, thanks to the lightweight and transparent microfluidic formulation of the perfume, that contrasts with many emulsion-based, ethanol-free perfumes currently available on the market.
– A natural, vegan, and ethanol-free formula based on alginate pearls, that offers a safe application without causing irritation to skin or hair.
– A protected formulation, thanks to Microcaps’ patented perfume pearls. “This perfume has the vision to introduce ethanol-free fine fragrance to a broader audience through its additional values. Innovative product features, including a natural formulation, safe application, and luxurious visuals, provide compelling reasons for health-conscious luxury perfume consumers to embrace this ground breaking innovation. These elements collectively make it an attractive choice for those seeking a unique and refined fragrance experience,” said Microcaps in a statement. The Microcaps technology was presented at the latest edition of the Fragrance Innovation Summit in Paris. Read our special issue dedicated to fragrance innovation, here."
"Tech helps beauty ’dreams’ come true, says L’Oréal’s Guive Balooch","How is L’Oréal embracing tech? Guive Balooch - Our CEO being the CES keynote is such a proud moment for us, and even more for the beauty industry. It’s the first time a beauty company CEO is speaking at the largest tech stage in the world. It signals the essentiality of beauty in society today, and the critical role tech plays in elevating products and experiences. We strive to build beauty products that are powered by tech, not tech products powered by beauty. We don’t look at the latest tech trend; we look at what people need and where the consumer tensions lie, and then create the tech to solve it. We’ve had consumer tensions for so long — like the fact that 50 percent of women can’t find the right shade match of foundation — and those tensions are now being solved more easily, faster and with more delight. We are meeting people’s dreams and expectations more effectively, thanks to the marriage of tech and beauty. Does artificial intelligence (AI) have a role to play? Guive Balooch - In many of our innovations, the common denominator is artificial intelligence – which we have been using for years, guided by our sense of purpose. We have growing experience of deploying AI across our brands and divisions. In 2018, L’Oréal acquired (augmented reality company) ModiFace, enabling us to create services like Virtual Try-On for hair, nail color and makeup try-ons. A great product example is Rouge Sur Mesure by Yves Saint Laurent Beauté. It’s an AI-powered, connected personalized lipstick device with augmented reality capabilities to virtually try-on and recommend lipstick shades from a selection of 4,000 shade options with a touch of a button and within seconds. What do you expect from tech? Guive Balooch - Tech isn’t about tech. It’s about guiding people to the right choices, and it’s about understanding your individual beauty based on data that will be powered by tech. We want to offer everyone the best of cosmetics innovation in terms of quality, efficacy and safety; and meeting the infinite diversity of beauty needs and desires all over the world. It is through technology that we can meet these needs. For our newest innovation, AirLight Pro, we’re launching with hairstylist professionals first... With other tech products, we launch to consumers first. It varies project to project and brand to brand. How do you decide on tech products? Guive Balooch - Our end goal is to build great products for our consumers. Starting with tech trends can lead to gimmicky results, especially in such a saturated market. While we need technology, we also need deep consumer insights into how we can make beauty lives better... Our approach is to first start with the consumer need, then use the technology that’s been clinically tested for 100 percent accuracy, and through that, build products that are enhanced and augmented to bring experiences to a new level. This process helps us constantly challenge ourselves to build on technology and develop great products and experiences that are completely unique. We also say no to projects that don’t deliver experiences that go above and beyond what’s already existing in the marketplace."
When beauty products pamper with AI: seven innovations spotted at CES 2024,"At CES 2024, the trend in beauty was clear: the time has come for artificial intelligence (AI), with technological innovations intended to get the application of beauty products ever simpler, precise and personalized! At home manicure salon This is the case, for instance, of the Nimble manicure salon, which calls itself the world’s first device to combine AI and complex robotics to paint nails flawlessly at home — without the hassle of making an appointment. Resembling a heavyset printer, the eight-kilo white box can varnish all ten fingernails and dry them in just twenty-five minutes. According to its creators, the device uses high-resolution micro-cameras and 3-D imaging to determine nail shape, size and curvature. Then a small robotic arm, guided by AI algorithms, applies the requisite three coats, with a blow dry after each applied layer. When it goes on sale in March, more than thirty colors will be available in capsules costing USD 10 each, enough for two complete manicures. The device costs USD 599. A virtual beauty advisor AI, a term often deployed as the latest catchphrase for anything tech, has also infiltrated beauty industry giants, as exemplified by the free Beauty Genius app, presented by L’Oréal. The innovation is intended to be an AI-supported ""virtual personal advisor."" It recommends skincare and make-up products according to skin type, gives tips on techniques and answers questions about problems such as acne and hair loss. Users can also try out the products virtually. Virtual tryouts This is also the aim of the program Beautiful AI, created by Perfect Corp, which combines generative AI and virtual reality to perform live skin analyses, 3-D hairstyle or jewelry trials and make recommendations. According to Perfect Corp CEO and Founder, Alice Chang, the ultimate goal is to create a ""more fulfilled customer journey"" by helping consumers to identify products and services that align seamlessly with their individual preferences. Custom printed makeup Korea’s Prinker, a specialist in ephemeral, customizable tattoos for skin and hair, is unveiling a similar product that will apply make-up this year. The device will also put AI to work with a biometric 3-D scanner to map facial features and then recommend the right contours, ""printing"" the corresponding powders to the face. Infrared hair blower No doubt that beauty personalization tech was a key feature of this year’s CES. And companies also brought it to hair care! L’Oréal presented their new connected hairdryer that can be customized via an app, taking hair type into account and automatically adapting power and heat distribution. Dubbed Airlight Pro, the device uses infrared light to dry the hair, allowing it to preserve the hair’s moisture, explains Adrien Chrétien, head of augmented beauty development at L’Oréal. Due to go on sale in April, it also offers energy savings of 31 percent compared with a conventional appliance, he added. ""AirLight Pro, with over 150 patents filed, perfectly embodies this breakthrough in beauty by, for the first time, bringing a solution for drying while caring for the hair as well as the planet,"" says Barbara Lavernos, deputy CEO in charge of research, innovation and technology at L’Oréal. Lip diagnosis, care and makeup capabilities in one pocket device After presenting at last year’s CES, a device named Cosmechip capable of concocting bespoke skincare at home, the South Korean giant AmorePacific is back with a new innovation focusing on lip care. The Lipcure Beam incorporates sensors that can diagnose the condition of the lips, including moisture levels, simply by swiping it over the mouth. Once this first step has been completed, simply remove the cap from the container to reveal an applicator tool. This applicator emits a customized light beam according to the diagnosis made, which interacts with a light-responsive material to reinforce collagen fibers and form a moisturizing barrier. Not only does this innovation help slow down the lip-aging process, but it also has the potential for color capabilities, based on a universal color system suitable for all skin tones. And best of all, it’s portable, making it easy to use any time, any place. The high-tech leggings that stimulate muscles Finally, let’s mention the leggings unveiled by biotechnology company Barun Bio, which feature patented WE-Stim (for ""Wearing Electrical Stimulation"") technology. Available in a range of colors, these workout pants feature conductive materials that use the energy produced by the body in motion (during exercise) to generate micro-currents to stimulate muscles and thus enhance performance. A new demonstration of the convergence of beauty and fitness!"
Clean Reserve builds on micro-emulsion for long-lasting water-based fragrances,"Clean Beauty Collective is betting on ethanol-free fragrances with a collection of eight water-based perfumes - Clean Reserve H2Eau [1]. The new collection builds on a micro-emulsion technology developed in partnership Japanese fragrance house Takasago. Dubbed Hydro-Tec, the technology enables the stable mixing of fragrance oil and water resulting in a fragrance that is long-lasting. Designed with sensitive skin in mind, the formulation was extensively tested in the lab and in the field. According to Clean Beauty Collective, consumer research results show a positive user experience with 88% of consumers calling it “game changing”. Thanks to this technology, the collection avoids the usual flaws of water-based fragrances that, historically, have been tacky on the skin and have lacked longevity. “Clean Reserve H2Eau’s formulation approach is not only long-lasting, but also gentle enough for sensitive skin, absorbing quickly, and leaving skin smooth and hydrated without irritation,” claims Clean Beauty Collective, which has the exclusive on Takasago’s Hydro-Tec for two years. According to the company, the line is packaged in sustainable, recyclable materials and is manufactured in solar powered facilities. The cap is made in Spain from sustainable wood, the glass bottle is fully recyclable and the fragrances are derived from responsibly sourced sustainable ingredients through selected partners that “give back to the local farmers and their communities.” “Clean Reserve H2Eau is a testament to our commitment to innovation and sustainability. It represents a leap forward in clean fragrance technology, demonstrating that luxury and environmental responsibility can coexist harmoniously,"" said Clean Beauty Collective’s CEO, Greg Black. Available exclusively at Sephora.com and cleanbeauty.com the line will roll out in more than 250 Sephora U.S. doors on December 26."
HeiQ unveils a 100% biobased probiotics-infused textile technology,"Designed for next-to-skin apparel and home textiles, the HeiQ Skin Care technology harnesses the power of active probiotics and selected prebiotics to enhance the cutaneous microbiome for glowing skin. According to HeiQ, this textile finish helps to provide a balanced microbiome, even after repeated use and washing of textiles. Unlike conventional products, HeiQ Skin Care utilizes slow-release prebiotics and probiotics seamlessly integrated into a biobased textile matrix, enriching the skin’s microbiome diversity, and offering long-lasting cosmetic benefits. The proprietary technology was designed to deliver a soothing cosmetic skin treatment in every situation, whether the user is relaxing, working or sleeping. It is based on a synergistic combination of prebiotics and probiotics, known as synbiotics. According to HeiQ, synbiotics promote skin renewal, rebalancing, and improved appearance, reducing the signs of aging and establishing a favorable environment for the skin’s natural repair mechanisms. HeiQ Skin Care is suitable for all textile fibres, both natural and synthetic, and can be applied to all textile items that come in direct contact with the skin. Thanks to this versatility the technology can be used in a variety of daily use textiles - at work, during sports, leisure activities, or as bedding items like bed sheets and pillows. Intensive wear trials conducted during the development stage have proven the consistent release of synbiotics (prebiotics and probiotics) onto the skin, creating conditions to foster a well-balanced microbiome. “HeiQ Skin Care represents a leap forward in textile innovation, combining the power of probiotics and prebiotics to enhance skin microbiome and overall skin appearance. It is another way of delivering our promise of improving the lives of billions, which is at the core of everything we do at HeiQ,"" says Mike Abbott, Head of HeiQ Textiles & Flooring Business Unit. Founded in 2005 as a spin-off from the Swiss Federal Institute of Technology Zurich (ETH), HeiQ is listed on the London Stock Exchange Main Market. With its 14 offices, 7 manufacturing sites, and 7 R&D hubs, HeiQ today employs 230 professionals. The company has a total capacity of 45,000 tons of specialty chemicals per year and serves over 1,000 industrial customers in over 60 countries."
Schwan Cosmetics unveils new refillable lip liner,"Schwan Cosmetics has showcased its newly launched eco-friendly mechanical lip liner at the Cosmoprof Asia 2023 trade show in Hong Kong. The new product combines a maximum-performance formula and active care ingredients with sustainability and eco-conscious design. Dubbed “Power Up Your Pout”, the new refillable mechanical lip liner features exchangeable cartridges filled in with a peptide and jojoba oil-infused formulation and a unique, drop-shaped tip for an easy application. The drop-shaped tip mimics the natural shape of the lips and is designed to never lose its shape, ensuring easy, precise application until the last use. The jojoba oil in the formulation provides moisture and cell regeneration, while the peptides, one of 2023’s most trending active ingredients, promote plumpness and fuller-looking lips, in line with today’s most in-style looks and consumer demands. The new lip liner also has a unique refill system that allows consumers to replace the product without discarding the packaging, thus reducing the product’s environmental footprint. The refill systems offers a sustainable beauty alternative to single-use and disposable liquid liners, thus significantly contributing the reduction of plastic waste. “We understand the needs and preferences of the Asian cosmetics market, which are characterized by fast innovation, product performance with high-quality standards, and most recently, an increased demand for sustainable product offers,” says Sandra Schäfer, Manager of Sustainable Business Innovation at Schwan Cosmetics. “We offer a wide range of products that cater to these demands, from natural and clean formulations to trendy, functional, and sustainable packaging solutions. With ‘Power Up Your Pout’, we demonstrate that high-quality beauty products can be sustainable - without compromise. This is an important part of our ongoing commitment to enabling our consumers to reduce the amount of waste from cosmetics products while still feeling great about their look and achieving the latest trending styles.” In addition to this innovation, Schwan Cosmetics also showcased “TheBetterBarrel” line of eco-friendly eyeliner and lip liner pencils made from bio-based, environmentally friendly materials and airtight packaging that preserves the high-performance makeup’s volatile ingredients. Launched at MakeUp in New York last year, TheBetterBarrel line has been nominated for the Cosmopack Asia Awards in the sustainability category."
