title,text
COSMÉTOSCIENCES: A cosmetics research program in France,"The French cosmetics industry, which brings together 3,500 companies, 80% of which are SMEs, is the  second largest contributor to the country’s trade balance. This highly strategic sector for the French economy operates in a growing global market that is attracting more and more countries. In 2021, France was the world’s leading exporter of cosmetics with over 14,5% of the export market. In front of a strong competition from Asian countries, especially South Korea, Japan, and China, France remains the market leader thanks to a dynamic research on the subjects of innovations of the perfumery and cosmetic industry. In such a context, R&D and innovation are key elements to establish the values of the “French brand”. The Centre-Val  de  Loire  region  has  made  cosmetics  the  core focus of its Regional Innovation Strategy, spawning the COSMÉTOSCIENCES program in 2015. Led by the University of Orléans, the project involves the University of Tours, the CNRS, the Cosmetic Valley competitiveness hub and Le Studium Loire Valley institute. Since 2015, 40 collaborative research projects have emerged, involving various research teams at 35 businesses in the cosmetics sector. Over 5 years, the combined workforce dedicated to cosmetics research in the Centre-Val de Loire region has reached 120 Full-Time Equivalents and published close on 100 papers. This dynamic allows researchers to promote their skills and expertise with new academic and industry partners in order to set up or contribute to projects with a national or international scope. The research activities developed within COSMÉTOSCIENCES focus on current cornerstones of the cosmetics industry that best meet consumer expectations: eco-responsible cosmetics, efficacy, safety and “Made in France”. The program’s three key focus areas for research, development and innovation are: – Naturalness and eco-responsible processes,
– Characterisation of a product’s biological activity and safety,
– Formulation and sensoriality. COSMÉTOSCIENCES federates 23 research teams from 10 academic laboratories at the University of Orléans, the University of Tours and the CNRS, whose expertise spans the entire cosmetic product value chain. COSMÉTOSCIENCES is the only regionally structured cosmetics research program in Europe, the skills and visibility of which are gradually gaining momentum. It is part of a regional dynamic with a strong national and international outreach. European partnerships are being set up to use the network’s expertise to promote innovation within the French industry sector. To learn more about the COSMÉTOSCIENCES program, visit the website cosmetosciences.fr"
"Hair straightening chemicals could increase uterine cancer risk, research finds","The National Institutes of Health (NIH) looked into the chemical products used by women to straighten their curly or frizzy hair. The procedure, which involves modifying the texture of the hair in question to make it straight, is apparently not without health risks. Such are the findings of this study conducted among 33,497 American women aged 35 to 74, over a period of nearly 11 years, who participated in a survey led by the National Institute of Environmental Health Sciences (NIEHS) seeking to identify the factors involved in several diseases, including some forms of cancer. [1] The major study, which identified 378 cases of uterine cancer, reports that women who used chemicals to straighten their hair had a higher risk of developing uterine cancer than those who did not. The scientists found no link between uterine cancer and other hair products, such as dyes, bleaches, highlights or perms. It should be noted, however, that it was essentially the women who declared using these straightening products ""frequently"" — meaning more than four times in the previous year — who were more likely to develop this type of cancer. This risk, according to the researchers, was twice as high compared to those who did not use these products. Note, however, that the risk of developing uterine cancer following frequent exposure to these chemicals appears to be relatively low according to the figures provided by the scientists. Moreover, the study did not collect any data on the brands or on the ingredients contained in the products used. ""We estimated that 1.64% of women who never used hair straighteners would go on to develop uterine cancer by the age of 70; but for frequent users, that risk goes up to 4.05%,” said Alexandra White, Ph.D., head of the NIEHS Environment and Cancer Epidemiology group and lead author on the new study. “This doubling rate is concerning. However, it is important to put this information into context — uterine cancer is a relatively rare type of cancer.” According to previous data, the incidence rate of uterine cancer appears to be on the rise in the United States, and particularly among Black women, with more than 65,000 new cases estimated in 2022. In its study, the NIH indicates that 60% of the women who said they had used chemicals to straighten their hair were Black women, implying that the effects on their health could be more significant due to this higher prevalence of use. It is also within this population that the incidence is rising the most. ""Because Black women use hair straightening or relaxer products more frequently and tend to initiate use at earlier ages than other races and ethnicities, these findings may be even more relevant for them,” said Che-Jung Chang, Ph.D., an author on the new study and a research fellow in the NIEHS Epidemiology Branch. While the correlation found in the study show there is a potential problem with hair straighteners, more research is warranted to identify specific chemicals driving this observed association. Formaldehyde and formaldehyde-releasing chemicals, which are part of some straighteners, have already been identified as playing a potential role in hormone-sensitive carcinogenesis. “A fundamental principle of epidemiology is that association is not the same as causation; one does not necessarily lead to the other. The association observed in the study is with people who straighten their hair, not the ingredients in hair products or any specific chemicals as this data was not collected,” commented Kimberly Norman, Senior Director, Safety and Regulatory Toxicology, at the Personal Care Products Council (PCPC) in a statement."
Can cellulose replace plastic in packaging?,"As it is foreseen as a solution to replace plastic in the future, cellulose is scrutinized by the packaging sector and its peripheral players. To speed up the development of alternative solutions, in particular to single-use food and cosmetics packaging, the Cellulose Valley teaching and research chair implemented a programme for PhDs, research engineers, and Master’s students working on various issues. “We aim to boost innovation and take advantage of all the scientific developments of the past few years in order to provide this material with properties as close as possible to those of plastic, in particular by improving the barrier function, finding solutions to closing and shaping problems, etc. We intend to develop a high-performing material that will help create recyclable and biodegradable packaging”, explains PhD Julien Bras, who holds the Cellulose Valley chair. This chair was created thanks to eight founding partners who directly or indirectly come from the cellulose ecosystem, including Ahlstrom and DS Smith, providers of cellulose-based solutions, Guillin Emballage and Aptar, who transform the material into packaging, Décathlon, Marie, or Chanel, users, and Citeo, for a global vision of the value chain. These partners finance the chair and launch the new research projects, training actions, exchange sessions, webinars, etc. “Every year, there is a research project planned with eight Master’s specialties, which makes 32, all in all: the students will work on proofs of concept and offer solutions expected by society in these fields. The results will be shared every year: the first day of the inauguration, we unveiled those of the first Master’s groups who presented their work on cheese and chocolate packaging, cushioning materials, new types of corrugated cardboard, and high-performing moulded cellulose”, Bras explains. The objective is to work on primary and secondary packaging for the food, cosmetics, and other industries that share the same problems, like the barrier function for liquid formulas, closing constraints, or decorations. Other than being a natural, renewable material, cellulose presents no risk of supply difficulties. “Cellulose is found in a significant, much underexploited biomass. Nature produces 200 billion tonnes of cellulose, and only six are used, mainly for heating. About 100 million tonnes of plastics are used in the packaging sector today, so I am not really worried about supplying, be it for the original or the recycled material”, says Bras. Launched in early 2022, the Cellulose Valley chair will continue its research work until 2026. All this will take place in parallel to the CDP Cosmethic programme, a tool implemented five years ago by the Institute of Excellence of the Grenoble University to build a bridge between social sciences and chemistry and material sciences, thanks to cosmetics."
Connected skin chips to predict the efficacy of sebum-regulating ingredients,"Sebum is a complex lipids mixture secreted by sebocytes and deposited in stratum corneum for helping to the skin barrier function. Disruption of sebum production leads to common skin diseases, including acne or atopic dermatitis; it also contributes to the development of oily or dry skin and impacts both appearance and beauty of the skin. Solutions to develop more efficient sebum-regulating cosmetics still require more predictive testing ranging from lab data to humans. Success of lab-to-donor data is not easy and quite often fails because of no proper translational readouts. Therefore, Gattefossé and CTIBiotech have joined forces to develop a relevant 3D bio printed model integrating sebocytes for measuring non-invasive parameters in vitro as on real humans while at the same time giving laboratory readouts. Using connected scales, Gattefossé and CTIBiotech used bioimpedance [1] to evaluate changes in the local environment of a 3D skin model integrating sebocytes. Measurement of such a non-invasive electrical activity allowed the scientists to follow in real-time the sebum production, in addition to laboratory readouts dealing with cellular, matrix and tissue development. “Full thickness skin models containing sebocytes have reproducible oil production which is increased by linoleic acid and reduced by TOFA, and remarkably this is characterized by significant changes in bioimpedance in both printed tissues and culture supernatants surrounding them. Bioimpedance, linked to the sebum production thus proves to be an in vitro non-invasive proper parameter and measurable in real-time, to design ever more predictive and effective testing, since 3D models described here and linked with a simple chip system, accurately mirror changes within skin models as on live donors,” says Dr. Nicolas Bechetoille, Ph.D/HDR, Research Manager Skin Biology, Head of Biology Laboratory at Gattefossé. While the use of bio-impedance to monitor sebum production by the skin is a natural advance, Professor Colin McGuckin, President and Chief Scientific Officer at CTIBiotech highlights that the real innovation comes from developing real-time analysis for oil changes. “We advanced our 3D printed full thickness skin models with an integrated bioimpedance chip connected to monitor changes. Linking cosmetics screening in this way advances faster towards human tests and increases our ability to make more effective products,” he says. This work will be presented at the 32nd IFSCC Congress in London, 19-22 September 2022."
How scientists are working on silk as a greener alternative to microplastics,"Whether in cosmetics, in clothes, detergents and many products of our daily life, microplastics are everywhere. They even have been found in air, water, and soil as well as in the bloodstream of animals and people around the world. While many manufacturers are looking for alternatives to these products, scientists from the Massachusetts Institute of Technology (MIT), in a joint work with BASF, have come up with an alternative that is surprisingly sourced from silkworms [1]. ""The EU has already declared that these added, nonbiodegradable microplastics must be eliminated by 2025, so the search is on for suitable replacements, which do not currently exist,"" the researchers explain in a statement. MIT researchers were interested in the properties of silk fibroins, which are not soluble in water while remaining biodegradable by the proteolytic enzymes commonly produced by living organisms. Using spray drying and ultrasonic spray freeze drying processes, the team of engineers designed and fabricated silk-based microcapsules with a wide range of structures. ""By precisely adjusting the polymer chain arrangements of silk materials and addition of a surfactant, it is possible to fine-tune the properties of the resulting coatings once they dry out and harden,"" the scientists explain. The material can thus be hydrophobic (water-repelling) even though it is made and processed in a water solution, or it can be hydrophilic (water-attracting), or anywhere in between, and for a given application it can be made to match the characteristics of the material it is being used to replace. Considered ""safe"" in the food and medical fields, silk is a biodegradable and non-toxic material for the body. It is also relatively easy to obtain as it can be extracted from the cocoons of silkworms or recovered from used silk fabric (or inferior-quality silk, unusable for textile manufacturing). Currently, 90 percent of the world’s silk production takes place in China. However,  that’s largely because the country has perfected the production of the high-quality silk threads needed for fabrics. The process developed by the MIT engineers uses bulk silk and has no need for a high level of quality. ""Production could easily be ramped up in other parts of the world to meet local demand if this process becomes widely used,"" says MIT professor of civil and environmental engineering Benedetto Marelli, co-author of the research. It is thus possible to carry out these encapsulations from cocoons of non-textile quality or even by recovering the silk of used fabrics. “The process is simple and can be implemented in existing factories,” says Muchun Liu, post-doctoral researcher at MIT and lead author of the study. While other similar experiments have been conducted before with biodegradable materials to replace microplastics, the MIT team insists that encapsulating high-content active substances is necessary to pave the way for commercial use. ""The only way to have an impact is where we can not only replace a synthetic polymer with a biodegradable counterpart, but also achieve performance that is the same, if not better,"" explains Benedetto Marelli. Micro-plastics that are intentionally added to consumer products represent only a minor part of the global pollution linked to plastics (10 to 15% according to the European Chemical Agency); indeed, much of the burden comes from other sources, such as the degradation over time of larger plastic objects such as bottles and packaging, and from the wear of car tires. “We cannot solve the whole microplastics problem with one solution that fits them all. Ten percent of a big number is still a big number,” highlights MIT professor of civil and environmental engineering Benedetto Marelli, co-author of the research."
"“They’re everywhere”: microplastics in oceans, air and human body","Images of plastic pollution have become familiar: a turtle suffocated by a shopping bag, water bottles washed up on beaches, or the monstrous ""Great Pacific Garbage Patch"" of floating detritus. Millions of tonnes of plastic produced every year, largely from fossil fuels, make their way into the environment and degrade into smaller and smaller pieces. ""We did not imagine 10 years ago that there could be so many small microplastics, invisible to the naked eye, and that they were everywhere around us,"" said Jean-Francois Ghiglione, a researcher at the Laboratory of Microbial Oceanography in France. ""And we could not yet envisage finding them in the human body"". Now scientific studies are increasingly detecting microplastics in some human organs — including ""the lungs, spleen, kidneys, and even the placenta,"" Ghiglione told AFP. It may not come as much of a shock that we breathe in these particles present in the air, in particular microfibres from synthetic clothing. ""We know that there’s microplastics in the air, we know it’s all around us,"" said Laura Sadofsky, from the Hull York Medical School in the UK. Her team found polypropylene and PET (polyethylene terephthalate) in lung tissue, identifying fibres from synthetic fabrics. ""The surprise for us was how deep it got into the lungs and the size of those particles,"" she told AFP. In March, another study reported the first traces of PET found in the blood. Given the small sample of volunteers, some scientists say it is too early to draw conclusions, but there are concerns that if plastics are in the bloodstream they could be transported to all organs. In 2021, researchers found microplastics in both maternal and foetal placental tissue, expressing ""great concern"" over the possible consequences on the development of the foetus. But concern is not the same as a proven risk. ""If you ask a scientist if there is a negative effect, he or she would say ’I don’t know’,"" said Bart Koelmans, professor in Aquatic Ecology and Water Quality at Wageningen University. ""It’s potentially a big problem, but we don’t have the scientific evidence to positively confirm what are the effects, if any."" One hypothesis is that microplastics could be responsible for certain syndromes that weaken human health. While scientists have recently identified their presence in the body, it is likely that humans have been eating, drinking and breathing in plastics for years. In 2019, a shock report by the environmental charity WWF estimated that people are ingesting and inhaling up to five grams of plastic per week — enough to make a credit card. Koelmans, who contests the methodology and results of that study, has calculated the amount is closer to a grain of salt. ""Over a lifetime, a grain of salt per week is still quite something,"" he told AFP. While health studies on humans have yet to be developed, toxicity in certain animals reinforces concerns. ""Small microplastics invisible to the naked eye have deleterious effects on all the animals that we have studied in the marine environment, or on land,"" said Ghiglione. He added that the array of chemicals found in these materials — including dyes, stabilisers, flame retardants — can affect growth, metabolism, blood sugar, blood pressure and even reproduction.  The researcher said there should be a ""precautionary"" approach, urging consumers to reduce the number of plastic-packaged products they buy, particularly bottles. However, ""people cannot stop breathing, so even if you change your eating habits you will still inhale them,"" said Koelmans. ""They’re everywhere."" Earlier this year, the United Nations began a process to develop an internationally binding treaty to tackle the global plastic scourge. It has warned that the world is facing a pollution crisis to match the biodiversity and climate crises. Some 460 million tonnes of plastics were used in 2019, twice as much as 20 years earlier. Less than 10 percent was recycled. Annual production of fossil-fuel-based plastics is set to top 1.2 billion tonnes by 2060, with waste exceeding one billion tonnes, the Organisation for Economic Co-operation and Development said last month."
Symrise blurs chromatography analyses to protect their fragrances,"Until now, perfumers had few other solutions than secrecy to protect their creations, which are not covered by intellectual property laws. However, this protection had become quite illusory in front of the growing improvement of analysis technologies, in particular gas chromatography, that make it possible to quickly display the chemical composition of a formula. Actually, the creation of an original fragrance is a long and meticulous process that requires different skills, a lot of time, and many tests. The process is expensive and counterfeiters - which are quite numerous in the luxury industry - avoid such huge investments by pirating the work of original creators. As a result, perfumes and cosmetics are among the most counterfeited products in the world! At European level, seizures of counterfeit perfumes and cosmetics represent nearly 10 billion euros, almost 10% of the cosmetics market [1]. To protect the creative work of their perfumers and the investment of their customers, Symrise initiated in 2018 a program to protect scented formulas by blurring the results of gas chromatography analyses regarding fragrance ingredients. Developed by Symrise’s R&D team in consultation with their perfumers, this technology is based on an innovative, colourless and odourless universal base, that helps to protect the originality of the perfume in which it is used. It contains a mixture of specific raw materials, with excellent UV resistance and temperature stability, that induce a wide range of interferences during a gas chromatography analysis. By blurring the quantification and identification of certain raw materials contained in the perfume formula, the base makes much more difficult to identically reproduce a specific fragrance. Finalized in 2019, the Cryptosym technology has already been applied to 45 formulas developed by Symrise for different olfactory families. Chromatography analyses showed that out of 133 natural and synthetic ingredients tested, the technology induces a variation in the analysis results for 118 of them: 93 being difficult to quantify, 25 being difficult to identify. In the main, according to Symrise, 40% of tested raw materials were affected by Cryptosym and 29% of them were completely “encrypted” by the technology. ""Cryptosym is a revolution in the sector because until then nothing had yet been developed to protect the intellectual property of the perfumer’s creativity"", underlines Aliénor Massenet, senior perfumer at Symrise. ""With Cryptosym, copying a perfume is now more difficult, the process is much longer and without any guarantee of finding that little extra that makes all the difference between success and simple reproduction"" To date, Symrise continues researches to collect additional data but already offers the technology as an option to their customers."
Recommendations on sun protection still insufficiently followed,"During the European Academy of Dermatology and Venereology (EADV) Congress, which has just ended in Slovenia, Pierre Fabre unveiled the results of its ’Sunscreen Assessment Family Experience (SAFE)’ study [1], which was conducted among 8,000 adults — parents and grandparents — in seven countries around the world during the summer months. And it is clear that adults and children are still not following health recommendations for sun protection. Last year, at the height of the summer season, only about one-third of children received adequate sun protection while exposed during the hours of the day when the sun is at its strongest/ This figure drops to 13% for the adult population. And this isn’t the only recommendation that many don’t follow. While health professionals recommend applying sun protection at least every two hours during the periods of sunshine when risk is considered highest — between 11am and 5pm — only 18.5% of children have actually benefited from such assiduity. ""Between 50 and 80% of cumulative exposure occurs during early childhood and is the leading cause of most skin cancers,"" outlines Dr Ariadna Ortiz Brugués Medical Directorate at Laboratoires Dermatologiques Avène. However, the study shows that 32% of children had at least one sunburn during the summer; the average number of sunburns was two. These behaviours could be explained by a lack of information on sun protection, as well as by certain misunderstandings that are clearly enduring, despite the prevention campaigns conducted each year. Nearly one out of two people surveyed (45%) admitted not knowing that UVB rays cause sunburn, 27% didn’t know that UVA rays accelerate skin aging, and more than a fifth of respondents are convinced that clouds protect from the sun. However, these numbers could soon change dramatically for the better considering that many children take the matter seriously. Nearly 47% of them said they would apply sunscreen without the help of their parents. This is true in all the countries surveyed, from France (41%) to the United States (54%), as well as Spain (nearly 52%) and Germany (nearly 46%). And generally speaking, the youngest respondents showed that they were aware of the issues surrounding sun protection, up to 70%."
Dutch scientists find microplastics in human blood for the first time,"The tiny and ubiquitous pieces of mostly invisible plastic have already been found almost everywhere else on Earth, from the deepest oceans to the highest mountains as well as in the air, soil and food chain. However, it is the first time that their presence in human blood has been demonstrated. A Dutch study [1] published in the Environment International journal on Thursday examined blood samples from 22 anonymous, healthy volunteers and found microplastics in quantifiable quantities in 17 of them (nearly 80 percent). Half of the blood samples showed traces of PET plastic (polyethylene terephthalate), a widely used substance globally, in particular to make drink bottles. More than a third had polystyrene, commonly used to produce disposable food containers and many other products. PE (polyethylene) and PMMA (poly methyl methacrylate) were also detected and 23% and 5% of the samples, respectively. The mean of the sum concentrations for each donor was 1.6 µg total plastic particles/ml blood sample. ""This is the first time we have actually been able to detect and quantify,"" such microplastics in human blood, said Dick Vethaak, an ecotoxicologist at Vrije Universiteit Amsterdam. ""This is proof that we have plastics in our body — and we shouldn’t,"" he told AFP, calling for further research to investigate how it could be impacting health. ""Where is it going in your body? Can it be eliminated? Excreted? Or is it retained in certain organs, accumulating maybe, or is it even able to pass the blood-brain barrier?"" questioned the scientist about the plastic in human body. The uptake routes of plastic particles detected in human bloodstream are likely to be via mucosal contact (either ingestion or inhalation). Dermal uptake of fine particles is unlikely except if the skin is damaged. The authors of the study therefore said the microplastics could have entered the body by many routes: via air, water or food, but also in products such as hygiene or cosmetic products (toothpastes or lip glosses, for instance) or tattoo ink. Furthermore, ""it is scientifically plausible that plastic particles may be transported to organs via the bloodstream,"" they added. The study was funded by the Netherlands Organisation for Health Research and Development as well as Common Seas, a UK-based group aimed at reducing plastic pollution. Alice Horton, anthropogenic contaminants scientist at Britain’s National Oceanography Centre, said the study ""unequivocally"" proved there was microplastics in human blood. ""This study contributes to the evidence that plastic particles have not just pervaded throughout the environment, but are pervading our bodies too,"" she told the Science Media Centre. Fay Couceiro, reader in biogeochemistry and environmental pollution at the University of Portsmouth, said that despite the small sample size and lack of data on the exposure level of participants, she felt the study was ""robust and will stand up to scrutiny"". She also called for further research. ""After all blood links all the organs of our body and if plastic is there, it could be anywhere in us."""
Shiseido unveils new testing method to accelerate skin bacteria analysis,"According to Shiseido, the methods currently available to analyze the bacteria that are present on the skin of an individual (the so-called “skin microbiome”) make it hardly possible to obtain results in last than one month after having collected the samples. With the aim to provide customers with a new high-value in-store experience and beauty service, the group has partnered with Yamato-Esulon and Orcoa, two Japanese manufacturers of laboratory equipment that have developed devices that are able to detect periodontal disease bacteria. The link between skin health and beauty and the 1,000+ types of indigenous bacteria that can be present at the surface an within the skin is still to be fully investigated. However, Shiseido has found in earlier research that indigenous bacterial diversity is low in sensitive skin and that some prebiotic ingredients can improve skin texture and hydration. While, the skin microbiome can vary a lot from one individual to another, Shiseido chose to focus on Staphylococcus epidermidis and Propionibacterium acnes, two types of skin bacteria that are said to be strongly “related to the beauty and health of the skin.” Using a compact and simplified PCR [1] testing device, the Japanese cosmetics giant was able to develop a fast testing method for these two strains. The new method enables any person without specific skill to perform the test and obtain the results in about 40 minutes. According to Shiseido, analyzes confirmed the amount and balance of the bacteria assessed with the new methods were equivalent to the results of those being examined with a conventional method [2]. Thanks to its compact size, the device can be placed in any venue receiving customers. Beauty advisors just have to collect samples from the customer’s stratum corneum, usually from the forehead, and the results can be delivered within less than an hour, providing customers with a unique shopping experience. As a first step, Shiseido plans to launch a “unique skin bacteria” measuring service using this testing method on a trial basis for visitors at the Shiseido Global Innovation Center (called “S/PARK”), a research and innovation hub located in the Minato Mirai area in Yokohama, Japan. “With this technology, we wish to offer opportunities for our customers to deepen their understanding of indigenous skin bacteria, which play an important role in the beauty and health of the skin. Furthermore, by combining with the advanced counseling services of our beauty consultants, which are one of our strengths, we would like to provide people with optimal, personalized skincare solutions according to their current skin conditions,” said Shiseido in a statement. The Japanese group plans to further develop these technologies to gain a deeper understanding of the human skin ecosystem in which cells and microbes coexist and how to provide beneficial services to its customers."
